Class Name,Accuracy
AM General Hummer SUV 2000,86.36363636363636
Acura RL Sedan 2012,21.875
Acura TL Sedan 2012,44.18604651162791
Acura TL Type-S 2008,47.61904761904762
Acura TSX Sedan 2012,40.0
Acura Integra Type R 2001,86.36363636363636
Acura ZDX Hatchback 2012,76.92307692307692
Aston Martin V8 Vantage Convertible 2012,44.44444444444444
Aston Martin V8 Vantage Coupe 2012,73.17073170731707
Aston Martin Virage Convertible 2012,30.303030303030305
Aston Martin Virage Coupe 2012,23.68421052631579
Audi RS 4 Convertible 2008,44.44444444444444
Audi A5 Coupe 2012,68.29268292682927
Audi TTS Coupe 2012,26.19047619047619
Audi R8 Coupe 2012,93.02325581395348
Audi V8 Sedan 1994,62.7906976744186
Audi 100 Sedan 1994,20.0
Audi 100 Wagon 1994,30.952380952380953
Audi TT Hatchback 2011,22.5
Audi S6 Sedan 2011,30.434782608695652
Audi S5 Convertible 2012,85.71428571428571
Audi S5 Coupe 2012,33.333333333333336
Audi S4 Sedan 2012,61.53846153846154
Audi S4 Sedan 2007,46.666666666666664
Audi TT RS Coupe 2012,58.97435897435897
BMW ActiveHybrid 5 Sedan 2012,35.294117647058826
BMW 1 Series Convertible 2012,82.85714285714286
BMW 1 Series Coupe 2012,31.70731707317073
BMW 3 Series Sedan 2012,19.047619047619047
BMW 3 Series Wagon 2012,63.41463414634146
BMW 6 Series Convertible 2007,43.18181818181818
BMW X5 SUV 2007,4.878048780487805
BMW X6 SUV 2012,80.95238095238095
BMW M3 Coupe 2012,88.63636363636364
BMW M5 Sedan 2010,43.90243902439025
BMW M6 Convertible 2010,36.58536585365854
BMW X3 SUV 2012,92.10526315789474
BMW Z4 Convertible 2012,70.0
Bentley Continental Supersports Conv. Convertible 2012,36.111111111111114
Bentley Arnage Sedan 2009,74.35897435897436
Bentley Mulsanne Sedan 2011,71.42857142857143
Bentley Continental GT Coupe 2012,70.58823529411765
Bentley Continental GT Coupe 2007,52.17391304347826
Bentley Continental Flying Spur Sedan 2007,61.36363636363637
Bugatti Veyron 16.4 Convertible 2009,71.875
Bugatti Veyron 16.4 Coupe 2009,81.3953488372093
Buick Regal GS 2012,85.71428571428571
Buick Rainier SUV 2007,28.571428571428573
Buick Verano Sedan 2012,89.1891891891892
Buick Enclave SUV 2012,80.95238095238095
Cadillac CTS-V Sedan 2012,100.0
Cadillac SRX SUV 2012,95.1219512195122
Cadillac Escalade EXT Crew Cab 2007,68.18181818181819
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0.0
Chevrolet Corvette Convertible 2012,94.87179487179488
Chevrolet Corvette ZR1 2012,63.04347826086956
Chevrolet Corvette Ron Fellows Edition Z06 2007,16.216216216216218
Chevrolet Traverse SUV 2012,72.72727272727273
Chevrolet Camaro Convertible 2012,45.45454545454545
Chevrolet HHR SS 2010,0.0
Chevrolet Impala Sedan 2007,23.25581395348837
Chevrolet Tahoe Hybrid SUV 2012,56.75675675675676
Chevrolet Sonic Sedan 2012,81.81818181818181
Chevrolet Express Cargo Van 2007,3.4482758620689653
Chevrolet Avalanche Crew Cab 2012,40.0
Chevrolet Cobalt SS 2010,63.41463414634146
Chevrolet Malibu Hybrid Sedan 2010,47.36842105263158
Chevrolet TrailBlazer SS 2009,27.5
Chevrolet Silverado 2500HD Regular Cab 2012,36.8421052631579
Chevrolet Silverado 1500 Classic Extended Cab 2007,66.66666666666667
Chevrolet Express Van 2007,85.71428571428571
Chevrolet Monte Carlo Coupe 2007,22.22222222222222
Chevrolet Malibu Sedan 2007,38.63636363636363
Chevrolet Silverado 1500 Extended Cab 2012,2.3255813953488373
Chevrolet Silverado 1500 Regular Cab 2012,27.272727272727273
Chrysler Aspen SUV 2009,2.3255813953488373
Chrysler Sebring Convertible 2010,80.0
Chrysler Town and Country Minivan 2012,78.37837837837837
Chrysler 300 SRT-8 2010,64.58333333333333
