Class Name,Accuracy
apple,88.28571428571429
aquarium_fish,57.42857142857143
baby,72.28571428571429
bear,55.714285714285715
beaver,34.42857142857143
bed,69.14285714285714
bee,73.71428571428571
beetle,57.0
bicycle,88.28571428571429
bottle,89.28571428571429
bowl,45.42857142857143
boy,75.85714285714286
bridge,76.85714285714286
bus,67.28571428571429
butterfly,62.714285714285715
camel,82.42857142857143
can,78.14285714285714
castle,74.85714285714286
caterpillar,47.0
cattle,87.85714285714286
chair,94.0
chimpanzee,85.42857142857143
clock,81.14285714285714
cloud,78.71428571428571
cockroach,59.714285714285715
couch,62.142857142857146
crab,60.714285714285715
crocodile,24.142857142857142
cup,53.0
dinosaur,70.28571428571429
dolphin,63.142857142857146
elephant,80.42857142857143
flatfish,44.142857142857146
forest,55.285714285714285
fox,69.71428571428571
girl,69.85714285714286
hamster,80.71428571428571
house,85.71428571428571
kangaroo,76.28571428571429
keyboard,81.57142857142857
lamp,78.0
lawn_mower,95.71428571428571
leopard,27.428571428571427
lion,75.0
lizard,32.285714285714285
lobster,22.571428571428573
man,67.28571428571429
maple_tree,56.0
motorcycle,85.57142857142857
mountain,93.85714285714286
mouse,25.0
mushroom,66.71428571428571
oak_tree,43.42857142857143
orange,92.14285714285714
orchid,82.0
otter,14.0
palm_tree,94.85714285714286
pear,74.14285714285714
pickup_truck,92.0
pine_tree,76.28571428571429
plain,64.28571428571429
plate,58.57142857142857
poppy,70.71428571428571
porcupine,19.0
possum,29.142857142857142
rabbit,67.85714285714286
raccoon,53.857142857142854
ray,8.857142857142858
road,95.0
rocket,94.71428571428571
rose,61.57142857142857
sea,85.28571428571429
seal,44.57142857142857
shark,54.857142857142854
shrew,31.142857142857142
skunk,78.71428571428571
skyscraper,74.0
snail,63.142857142857146
snake,63.857142857142854
spider,56.857142857142854
squirrel,50.57142857142857
streetcar,62.857142857142854
sunflower,93.0
sweet_pepper,61.857142857142854
table,56.42857142857143
tank,81.14285714285714
telephone,84.28571428571429
television,79.71428571428571
tiger,50.285714285714285
tractor,78.71428571428571
train,90.85714285714286
trout,31.714285714285715
tulip,79.28571428571429
turtle,39.857142857142854
wardrobe,86.57142857142857
whale,66.85714285714286
willow_tree,34.285714285714285
wolf,59.0
woman,59.714285714285715
worm,63.57142857142857
