Class Name,Accuracy
banded,0.0
blotchy,5.0
braided,22.5
bubbly,67.5
bumpy,0.0
chequered,85.0
cobwebbed,45.0
cracked,50.0
crosshatched,20.0
crystalline,95.0
dotted,12.5
fibrous,0.0
flecked,10.0
freckled,72.5
frilly,57.5
gauzy,0.0
grid,27.5
grooved,25.0
honeycombed,32.5
interlaced,5.0
knitted,62.5
lacelike,0.0
lined,0.0
marbled,52.5
matted,15.0
meshed,10.0
paisley,100.0
perforated,72.5
pitted,0.0
pleated,57.5
polka-dotted,70.0
porous,55.0
potholed,35.0
scaly,7.5
smeared,30.0
spiralled,25.0
sprinkled,45.0
stained,35.0
stratified,20.0
striped,40.0
studded,65.0
swirly,15.0
veined,20.0
waffled,70.0
woven,62.5
wrinkled,62.5
zigzagged,25.0
