Class Name,Accuracy
Abyssinian,89.79591836734694
American Bulldog,50.0
American Pit Bull Terrier,95.0
Basset Hound,92.0
Beagle,78.0
Bengal,62.0
Birman,98.0
Bombay,0.0
Boxer,19.19191919191919
British Shorthair,92.0
Chihuahua,82.0
Egyptian Mau,87.62886597938144
English Cocker Spaniel,97.0
English Setter,81.0
German Shorthaired,93.0
Great Pyrenees,89.0
Havanese,86.0
Japanese Chin,96.0
Keeshond,98.98989898989899
Leonberger,88.0
Maine Coon,91.0
Miniature Pinscher,93.0
Newfoundland,32.0
Persian,0.0
Pomeranian,82.0
Pug,99.0
Ragdoll,26.0
Russian Blue,86.0
Saint Bernard,84.0
Samoyed,99.0
Scottish Terrier,92.92929292929293
Shiba Inu,96.0
Siamese,74.0
Sphynx,94.0
Staffordshire Bull Terrier,41.57303370786517
Wheaten Terrier,95.0
Yorkshire Terrier,92.0
