Class Name,Accuracy,column 3
banded,0.0,0.0
blotchy,2.5,5.0
braided,37.5,30.0
bubbly,75.0,62.5
bumpy,0.0,0.0
chequered,92.5,85.0
cobwebbed,82.5,80.0
cracked,35.0,45.0
crosshatched,35.0,35.0
crystalline,92.5,92.5
dotted,5.0,10.0
fibrous,5.0,7.5
flecked,2.5,0.0
freckled,67.5,75.0
frilly,42.5,62.5
gauzy,5.0,47.5
grid,30.0,32.5
grooved,25.0,20.0
honeycombed,32.5,52.5
interlaced,10.0,0.0
knitted,62.5,90.0
lacelike,0.0,5.0
lined,2.5,0.0
marbled,30.0,7.5
matted,15.0,10.0
meshed,17.5,47.5
paisley,100.0,100.0
perforated,92.5,80.0
pitted,0.0,0.0
pleated,77.5,70.0
polka-dotted,45.0,87.5
porous,55.0,47.5
potholed,65.0,85.0
scaly,7.5,2.5
smeared,32.5,57.5
spiralled,22.5,27.5
sprinkled,42.5,42.5
stained,50.0,42.5
stratified,65.0,60.0
striped,65.0,55.0
studded,80.0,77.5
swirly,22.5,30.0
veined,15.0,17.5
waffled,70.0,67.5
woven,32.5,30.0
wrinkled,32.5,60.0
zigzagged,32.5,45.0
