Class Name,Accuracy
Abyssinian,86.73469387755102
American Bulldog,67.0
American Pit Bull Terrier,80.0
Basset Hound,94.0
Beagle,71.0
Bengal,82.0
Birman,79.0
Bombay,0.0
Boxer,70.70707070707071
British Shorthair,88.0
Chihuahua,87.0
Egyptian Mau,85.56701030927834
English Cocker Spaniel,94.0
English Setter,80.0
German Shorthaired,98.0
Great Pyrenees,88.0
Havanese,89.0
Japanese Chin,95.0
Keeshond,97.97979797979798
Leonberger,89.0
Maine Coon,74.0
Miniature Pinscher,93.0
Newfoundland,76.0
Persian,61.0
Pomeranian,95.0
Pug,98.0
Ragdoll,57.0
Russian Blue,93.0
Saint Bernard,91.0
Samoyed,98.0
Scottish Terrier,93.93939393939394
Shiba Inu,98.0
Siamese,81.0
Sphynx,95.0
Staffordshire Bull Terrier,69.66292134831461
Wheaten Terrier,96.0
Yorkshire Terrier,92.0
