Class Name,Accuracy
banded,0.0
blotchy,0.0
braided,32.5
bubbly,52.5
bumpy,0.0
chequered,77.5
cobwebbed,25.0
cracked,50.0
crosshatched,20.0
crystalline,80.0
dotted,40.0
fibrous,0.0
flecked,15.0
freckled,87.5
frilly,55.0
gauzy,17.5
grid,40.0
grooved,22.5
honeycombed,50.0
interlaced,0.0
knitted,92.5
lacelike,0.0
lined,0.0
marbled,40.0
matted,5.0
meshed,37.5
paisley,100.0
perforated,60.0
pitted,0.0
pleated,40.0
polka-dotted,57.5
porous,57.5
potholed,75.0
scaly,2.5
smeared,20.0
spiralled,40.0
sprinkled,50.0
stained,20.0
stratified,40.0
striped,40.0
studded,57.5
swirly,10.0
veined,22.5
waffled,62.5
woven,35.0
wrinkled,67.5
zigzagged,32.5
