Class Name,Accuracy
Abyssinian,81.63265306122449
American Bulldog,72.0
American Pit Bull Terrier,89.0
Basset Hound,89.0
Beagle,87.0
Bengal,69.0
Birman,63.0
Bombay,0.0
Boxer,12.121212121212121
British Shorthair,86.0
Chihuahua,87.0
Egyptian Mau,90.72164948453609
English Cocker Spaniel,98.0
English Setter,79.0
German Shorthaired,93.0
Great Pyrenees,95.0
Havanese,88.0
Japanese Chin,96.0
Keeshond,96.96969696969697
Leonberger,89.0
Maine Coon,91.0
Miniature Pinscher,93.0
Newfoundland,77.0
Persian,0.0
Pomeranian,86.0
Pug,99.0
Ragdoll,68.0
Russian Blue,91.0
Saint Bernard,89.0
Samoyed,98.0
Scottish Terrier,91.91919191919192
Shiba Inu,98.0
Siamese,79.0
Sphynx,95.0
Staffordshire Bull Terrier,59.550561797752806
Wheaten Terrier,94.0
Yorkshire Terrier,91.0
