Class Name,Accuracy
Abyssinian,82.65306122448979
American Bulldog,90.0
American Pit Bull Terrier,77.0
Basset Hound,88.0
Beagle,91.0
Bengal,92.0
Birman,49.0
Bombay,31.818181818181817
Boxer,13.131313131313131
British Shorthair,81.0
Chihuahua,91.0
Egyptian Mau,74.22680412371135
English Cocker Spaniel,85.0
English Setter,91.0
German Shorthaired,97.0
Great Pyrenees,97.0
Havanese,88.0
Japanese Chin,97.0
Keeshond,96.96969696969697
Leonberger,91.0
Maine Coon,78.0
Miniature Pinscher,92.0
Newfoundland,91.0
Persian,57.0
Pomeranian,95.0
Pug,99.0
Ragdoll,72.0
Russian Blue,93.0
Saint Bernard,95.0
Samoyed,98.0
Scottish Terrier,92.92929292929293
Shiba Inu,100.0
Siamese,87.0
Sphynx,96.0
Staffordshire Bull Terrier,76.40449438202248
Wheaten Terrier,97.0
Yorkshire Terrier,93.0
