Class Name,Accuracy
banded,0.0
blotchy,5.0
braided,42.5
bubbly,82.5
bumpy,5.0
chequered,92.5
cobwebbed,87.5
cracked,40.0
crosshatched,37.5
crystalline,90.0
dotted,2.5
fibrous,12.5
flecked,10.0
freckled,70.0
frilly,77.5
gauzy,27.5
grid,22.5
grooved,47.5
honeycombed,42.5
interlaced,0.0
knitted,97.5
lacelike,0.0
lined,0.0
marbled,50.0
matted,2.5
meshed,12.5
paisley,100.0
perforated,47.5
pitted,0.0
pleated,57.5
polka-dotted,97.5
porous,42.5
potholed,82.5
scaly,47.5
smeared,27.5
spiralled,52.5
sprinkled,45.0
stained,22.5
stratified,40.0
striped,62.5
studded,92.5
swirly,35.0
veined,7.5
waffled,85.0
woven,45.0
wrinkled,45.0
zigzagged,45.0
