Class Name,Accuracy
"('tench', 'Tinca tinca')",90.0
"('goldfish', 'Carassius auratus')",94.0
"('great white shark', 'white shark', 'man-eater', 'man-eating shark', 'Carcharodon carcharias')",58.0
"('tiger shark', 'Galeocerdo cuvieri')",52.0
"('hammerhead', 'hammerhead shark')",78.0
"('electric ray', 'crampfish', 'numbfish', 'torpedo')",70.0
"('stingray',)",36.0
"('cock',)",66.0
"('hen',)",90.0
"('ostrich', 'Struthio camelus')",92.0
"('brambling', 'Fringilla montifringilla')",94.0
"('goldfinch', 'Carduelis carduelis')",88.0
"('house finch', 'linnet', 'Carpodacus mexicanus')",88.0
"('junco', 'snowbird')",94.0
"('indigo bunting', 'indigo finch', 'indigo bird', 'Passerina cyanea')",96.0
"('robin', 'American robin', 'Turdus migratorius')",90.0
"('bulbul',)",82.0
"('jay',)",84.0
"('magpie',)",86.0
"('chickadee',)",94.0
"('water ouzel', 'dipper')",70.0
"('kite',)",78.0
"('bald eagle', 'American eagle', 'Haliaeetus leucocephalus')",90.0
"('vulture',)",68.0
"('great grey owl', 'great gray owl', 'Strix nebulosa')",92.0
"('European fire salamander', 'Salamandra salamandra')",88.0
"('common newt', 'Triturus vulgaris')",54.0
"('eft',)",36.0
"('spotted salamander', 'Ambystoma maculatum')",62.0
"('axolotl', 'mud puppy', 'Ambystoma mexicanum')",72.0
"('bullfrog', 'Rana catesbeiana')",68.0
"('tree frog', 'tree-frog')",76.0
"('tailed frog', 'bell toad', 'ribbed toad', 'tailed toad', 'Ascaphus trui')",54.0
"('loggerhead', 'loggerhead turtle', 'Caretta caretta')",58.0
"('leatherback turtle', 'leatherback', 'leathery turtle', 'Dermochelys coriacea')",52.0
"('mud turtle',)",50.0
"('terrapin',)",50.0
"('box turtle', 'box tortoise')",58.0
"('banded gecko',)",60.0
"('common iguana', 'iguana', 'Iguana iguana')",74.0
"('American chameleon', 'anole', 'Anolis carolinensis')",70.0
"('whiptail', 'whiptail lizard')",68.0
"('agama',)",50.0
"('frilled lizard', 'Chlamydosaurus kingi')",70.0
"('alligator lizard',)",48.0
"('Gila monster', 'Heloderma suspectum')",64.0
"('green lizard', 'Lacerta viridis')",26.0
"('African chameleon', 'Chamaeleo chamaeleon')",42.0
"('Komodo dragon', 'Komodo lizard', 'dragon lizard', 'giant lizard', 'Varanus komodoensis')",78.0
"('African crocodile', 'Nile crocodile', 'Crocodylus niloticus')",56.0
"('American alligator', 'Alligator mississipiensis')",74.0
"('triceratops',)",92.0
"('thunder snake', 'worm snake', 'Carphophis amoenus')",36.0
"('ringneck snake', 'ring-necked snake', 'ring snake')",70.0
"('hognose snake', 'puff adder', 'sand viper')",34.0
"('green snake', 'grass snake')",38.0
"('king snake', 'kingsnake')",70.0
"('garter snake', 'grass snake')",60.0
"('water snake',)",48.0
"('vine snake',)",38.0
"('night snake', 'Hypsiglena torquata')",20.0
"('boa constrictor', 'Constrictor constrictor')",36.0
"('rock python', 'rock snake', 'Python sebae')",46.0
"('Indian cobra', 'Naja naja')",56.0
"('green mamba',)",48.0
"('sea snake',)",68.0
"('horned viper', 'cerastes', 'sand viper', 'horned asp', 'Cerastes cornutus')",30.0
"('diamondback', 'diamondback rattlesnake', 'Crotalus adamanteus')",44.0
"('sidewinder', 'horned rattlesnake', 'Crotalus cerastes')",24.0
"('trilobite',)",92.0
"('harvestman', 'daddy longlegs', 'Phalangium opilio')",80.0
"('scorpion',)",72.0
"('black and gold garden spider', 'Argiope aurantia')",68.0
"('barn spider', 'Araneus cavaticus')",28.0
"('garden spider', 'Aranea diademata')",58.0
"('black widow', 'Latrodectus mactans')",94.0
"('tarantula',)",84.0
"('wolf spider', 'hunting spider')",58.0
"('tick',)",74.0
"('centipede',)",74.0
"('black grouse',)",86.0
"('ptarmigan',)",72.0
"('ruffed grouse', 'partridge', 'Bonasa umbellus')",76.0
