Class Name,Accuracy
tench,97.14285714285714
goldfish,80.0
great white shark,52.857142857142854
tiger shark,30.0
hammerhead shark,50.0
electric ray,60.0
stingray,50.0
rooster,61.42857142857143
hen,80.0
ostrich,80.0
brambling,90.0
goldfinch,100.0
house finch,50.0
junco,100.0
indigo bunting,80.0
American robin,80.0
bulbul,61.42857142857143
jay,55.714285714285715
magpie,80.0
chickadee,80.0
American dipper,80.0
kite (bird of prey),90.0
bald eagle,84.28571428571429
vulture,30.0
great grey owl,100.0
fire salamander,80.0
smooth newt,60.0
eft,0.0
spotted salamander,70.0
axolotl,77.14285714285714
American bullfrog,80.0
tree frog,50.0
tailed frog,37.142857142857146
loggerhead sea turtle,60.0
leatherback sea turtle,60.0
mud turtle,40.0
terrapin,70.0
box turtle,70.0
banded gecko,78.57142857142857
green iguana,30.0
Carolina anole,50.0
desert grassland whiptail lizard,50.0
agama,60.0
frilled-necked lizard,55.714285714285715
alligator lizard,17.142857142857142
Gila monster,51.42857142857143
European green lizard,30.0
chameleon,60.0
Komodo dragon,50.0
Nile crocodile,70.0
American alligator,70.0
triceratops,70.0
worm snake,20.0
ring-necked snake,40.0
eastern hog-nosed snake,40.0
smooth green snake,30.0
kingsnake,20.0
garter snake,48.57142857142857
water snake,40.0
vine snake,1.4285714285714286
night snake,0.0
boa constrictor,50.0
African rock python,38.57142857142857
Indian cobra,55.714285714285715
green mamba,60.0
sea snake,100.0
Saharan horned viper,51.42857142857143
eastern diamondback rattlesnake,41.42857142857143
sidewinder rattlesnake,25.714285714285715
trilobite,45.714285714285715
harvestman,80.0
scorpion,70.0
yellow garden spider,60.0
barn spider,30.0
European garden spider,12.857142857142858
southern black widow,100.0
tarantula,70.0
wolf spider,20.0
tick,60.0
centipede,88.57142857142857
black grouse,50.0
ptarmigan,50.0
ruffed grouse,50.0
prairie grouse,70.0
peafowl,70.0
quail,70.0
partridge,68.57142857142857
african grey parrot,100.0
macaw,90.0
sulphur-crested cockatoo,75.71428571428571
lorikeet,90.0
coucal,62.857142857142854
bee eater,90.0
hornbill,60.0
hummingbird,61.42857142857143
jacamar,70.0
toucan,60.0
duck,70.0
red-breasted merganser,92.85714285714286
goose,50.0
black swan,90.0
tusker,24.285714285714285
echidna,100.0
platypus,55.714285714285715
wallaby,90.0
koala,100.0
wombat,41.42857142857143
jellyfish,90.0
sea anemone,70.0
