Class Name,Accuracy
banded,0.0
blotchy,5.0
braided,40.0
bubbly,72.5
bumpy,0.0
chequered,82.5
cobwebbed,52.5
cracked,52.5
crosshatched,22.5
crystalline,90.0
dotted,12.5
fibrous,5.0
flecked,12.5
freckled,87.5
frilly,60.0
gauzy,10.0
grid,40.0
grooved,22.5
honeycombed,57.5
interlaced,2.5
knitted,92.5
lacelike,0.0
lined,0.0
marbled,47.5
matted,20.0
meshed,17.5
paisley,100.0
perforated,67.5
pitted,0.0
pleated,47.5
polka-dotted,80.0
porous,52.5
potholed,85.0
scaly,7.5
smeared,20.0
spiralled,32.5
sprinkled,42.5
stained,30.0
stratified,37.5
striped,30.0
studded,65.0
swirly,22.5
veined,12.5
waffled,62.5
woven,55.0
wrinkled,70.0
zigzagged,5.0
