Class Name,Accuracy
Abyssinian,84.6938775510204
American Bulldog,64.6
American Pit Bull Terrier,84.2
Basset Hound,93.6
Beagle,82.4
Bengal,63.0
Birman,71.6
Bombay,0.0
Boxer,35.95959595959596
British Shorthair,84.0
Chihuahua,87.6
Egyptian Mau,88.45360824742268
English Cocker Spaniel,94.0
English Setter,86.6
German Shorthaired,81.8
Great Pyrenees,94.8
Havanese,87.4
Japanese Chin,95.0
Keeshond,98.38383838383838
Leonberger,83.4
Maine Coon,92.6
Miniature Pinscher,91.8
Newfoundland,70.8
Persian,0.0
Pomeranian,90.2
Pug,98.4
Ragdoll,24.0
Russian Blue,90.2
Saint Bernard,91.2
Samoyed,98.2
Scottish Terrier,89.6969696969697
Shiba Inu,97.0
Siamese,91.0
Sphynx,94.6
Staffordshire Bull Terrier,70.33707865168539
Wheaten Terrier,96.0
Yorkshire Terrier,92.4
