Class Name,Accuracy
banded,1.5
blotchy,14.5
braided,49.0
bubbly,85.0
bumpy,3.0
chequered,90.0
cobwebbed,87.0
cracked,63.0
crosshatched,34.0
crystalline,95.0
dotted,6.5
fibrous,26.5
flecked,1.0
freckled,78.0
frilly,60.5
gauzy,71.5
grid,27.0
grooved,43.5
honeycombed,72.5
interlaced,7.5
knitted,89.5
lacelike,29.5
lined,22.5
marbled,46.0
matted,39.0
meshed,44.5
paisley,100.0
perforated,72.5
pitted,11.5
pleated,68.5
polka-dotted,85.5
porous,40.0
potholed,73.5
scaly,17.5
smeared,59.5
spiralled,26.0
sprinkled,44.5
stained,36.5
stratified,74.0
striped,65.5
studded,85.5
swirly,41.0
veined,29.5
waffled,68.0
woven,30.5
wrinkled,49.0
zigzagged,58.5
