Class Name,Accuracy
Abyssinian,81.63265306122449
American Bulldog,77.2
American Pit Bull Terrier,69.4
Basset Hound,89.2
Beagle,91.2
Bengal,88.8
Birman,52.4
Bombay,29.318181818181817
Boxer,75.55555555555556
British Shorthair,77.8
Chihuahua,94.2
Egyptian Mau,75.6701030927835
English Cocker Spaniel,86.6
English Setter,91.6
German Shorthaired,92.8
Great Pyrenees,94.2
Havanese,92.0
Japanese Chin,91.4
Keeshond,96.76767676767676
Leonberger,81.0
Maine Coon,73.0
Miniature Pinscher,89.4
Newfoundland,93.8
Persian,79.8
Pomeranian,93.6
Pug,98.0
Ragdoll,43.8
Russian Blue,93.8
Saint Bernard,93.6
Samoyed,98.0
Scottish Terrier,91.91919191919192
Shiba Inu,98.8
Siamese,92.2
Sphynx,95.0
Staffordshire Bull Terrier,80.0
Wheaten Terrier,97.0
Yorkshire Terrier,93.2
