Class Name,Accuracy
Abyssinian,84.6938775510204
American Bulldog,81.0
American Pit Bull Terrier,74.0
Basset Hound,91.0
Beagle,90.0
Bengal,89.0
Birman,66.0
Bombay,36.36363636363637
Boxer,86.86868686868686
British Shorthair,84.0
Chihuahua,91.0
Egyptian Mau,74.22680412371135
English Cocker Spaniel,90.0
English Setter,85.0
German Shorthaired,97.0
Great Pyrenees,96.0
Havanese,91.0
Japanese Chin,97.0
Keeshond,95.95959595959596
Leonberger,90.0
Maine Coon,72.0
Miniature Pinscher,90.0
Newfoundland,94.0
Persian,68.0
Pomeranian,97.0
Pug,98.0
Ragdoll,59.0
Russian Blue,93.0
Saint Bernard,92.0
Samoyed,98.0
Scottish Terrier,92.92929292929293
Shiba Inu,100.0
Siamese,88.0
Sphynx,94.0
Staffordshire Bull Terrier,74.15730337078652
Wheaten Terrier,96.0
Yorkshire Terrier,93.0
