Class Name,Accuracy
/a/airfield,11.0
/a/airplane_cabin,77.0
/a/airport_terminal,40.0
/a/alcove,18.0
/a/alley,65.0
/a/amphitheater,54.0
/a/amusement_arcade,52.0
/a/amusement_park,49.0
/a/apartment_building/outdoor,31.0
/a/aquarium,72.0
/a/aqueduct,47.0
/a/arcade,22.0
/a/arch,19.0
/a/archaelogical_excavation,31.0
/a/archive,23.0
/a/arena/hockey,96.0
/a/arena/performance,43.0
/a/arena/rodeo,80.0
/a/army_base,79.0
/a/art_gallery,59.0
/a/art_school,5.0
/a/art_studio,23.0
/a/artists_loft,6.0
/a/assembly_line,42.0
/a/athletic_field/outdoor,47.0
/a/atrium/public,25.0
/a/attic,45.0
/a/auditorium,41.0
/a/auto_factory,13.0
/a/auto_showroom,80.0
/b/badlands,55.0
/b/bakery/shop,42.0
/b/balcony/exterior,16.0
/b/balcony/interior,9.0
/b/ball_pit,73.0
/b/ballroom,63.0
/b/bamboo_forest,78.0
/b/bank_vault,42.0
/b/banquet_hall,38.0
/b/bar,29.0
/b/barn,47.0
/b/barndoor,38.0
/b/baseball_field,57.0
/b/basement,24.0
/b/basketball_court/indoor,47.0
/b/bathroom,40.0
/b/bazaar/indoor,24.0
/b/bazaar/outdoor,25.0
/b/beach,28.0
/b/beach_house,30.0
/b/beauty_salon,65.0
/b/bedchamber,58.0
/b/bedroom,26.0
/b/beer_garden,18.0
/b/beer_hall,15.0
/b/berth,36.0
/b/biology_laboratory,28.0
/b/boardwalk,52.0
/b/boat_deck,46.0
/b/boathouse,53.0
/b/bookstore,69.0
/b/booth/indoor,49.0
/b/botanical_garden,33.0
/b/bow_window/indoor,47.0
/b/bowling_alley,86.0
/b/boxing_ring,88.0
/b/bridge,36.0
/b/building_facade,10.0
/b/bullring,32.0
/b/burial_chamber,28.0
/b/bus_interior,79.0
/b/bus_station/indoor,35.0
/b/butchers_shop,61.0
/b/butte,54.0
/c/cabin/outdoor,29.0
/c/cafeteria,2.0
/c/campsite,67.0
/c/campus,19.0
/c/canal/natural,18.0
/c/canal/urban,45.0
/c/candy_store,36.0
/c/canyon,52.0
/c/car_interior,94.0
/c/carrousel,83.0
/c/castle,52.0
/c/catacomb,49.0
/c/cemetery,81.0
/c/chalet,38.0
/c/chemistry_lab,36.0
/c/childs_room,34.0
/c/church/indoor,63.0
/c/church/outdoor,28.0
/c/classroom,51.0
