Class Name,Accuracy
banded,0.0
blotchy,5.0
braided,33.57142857142857
bubbly,46.42857142857143
bumpy,0.0
chequered,80.35714285714286
cobwebbed,33.57142857142857
cracked,61.07142857142857
crosshatched,19.642857142857142
crystalline,95.0
dotted,13.214285714285714
fibrous,0.0
flecked,10.357142857142858
freckled,80.35714285714286
frilly,48.214285714285715
gauzy,2.142857142857143
grid,42.5
grooved,12.857142857142858
honeycombed,34.642857142857146
interlaced,6.071428571428571
knitted,68.57142857142857
lacelike,0.0
lined,0.0
marbled,50.0
matted,5.714285714285714
meshed,12.5
paisley,96.42857142857143
perforated,62.5
pitted,0.0
pleated,46.785714285714285
polka-dotted,81.07142857142857
porous,42.142857142857146
potholed,46.785714285714285
scaly,5.0
smeared,33.214285714285715
spiralled,40.357142857142854
sprinkled,38.57142857142857
stained,30.714285714285715
stratified,17.142857142857142
striped,36.42857142857143
studded,62.142857142857146
swirly,28.214285714285715
veined,13.214285714285714
waffled,64.64285714285714
woven,53.92857142857143
wrinkled,59.285714285714285
zigzagged,16.071428571428573
