Class Name,Accuracy
banded,0.0
blotchy,3.5714285714285716
braided,40.714285714285715
bubbly,81.42857142857143
bumpy,0.0
chequered,83.92857142857143
cobwebbed,85.0
cracked,53.57142857142857
crosshatched,30.0
crystalline,93.92857142857143
dotted,7.5
fibrous,5.0
flecked,0.0
freckled,75.0
frilly,57.857142857142854
gauzy,9.642857142857142
grid,30.714285714285715
grooved,18.571428571428573
honeycombed,46.785714285714285
interlaced,5.0
knitted,68.57142857142857
lacelike,0.0
lined,2.857142857142857
marbled,13.571428571428571
matted,9.285714285714286
meshed,21.785714285714285
paisley,100.0
perforated,67.5
pitted,0.35714285714285715
pleated,82.5
polka-dotted,85.0
porous,48.214285714285715
potholed,39.285714285714285
scaly,7.5
smeared,56.07142857142857
spiralled,28.214285714285715
sprinkled,46.785714285714285
stained,36.07142857142857
stratified,46.785714285714285
striped,56.42857142857143
studded,72.5
swirly,32.142857142857146
veined,15.0
waffled,67.5
woven,40.0
wrinkled,49.285714285714285
zigzagged,25.714285714285715
