Class Name,Accuracy
Abyssinian,83.52769679300292
American Bulldog,85.85714285714286
American Pit Bull Terrier,77.85714285714286
Basset Hound,92.0
Beagle,88.42857142857143
Bengal,88.85714285714286
Birman,80.71428571428571
Bombay,0.0
Boxer,63.63636363636363
British Shorthair,82.57142857142857
Chihuahua,90.28571428571429
Egyptian Mau,81.00147275405007
English Cocker Spaniel,89.28571428571429
English Setter,84.85714285714286
German Shorthaired,96.0
Great Pyrenees,91.28571428571429
Havanese,91.57142857142857
Japanese Chin,95.71428571428571
Keeshond,95.95959595959596
Leonberger,87.28571428571429
Maine Coon,88.42857142857143
Miniature Pinscher,92.71428571428571
Newfoundland,92.14285714285714
Persian,5.857142857142857
Pomeranian,97.57142857142857
Pug,98.42857142857143
Ragdoll,62.142857142857146
Russian Blue,93.0
Saint Bernard,91.28571428571429
Samoyed,98.0
Scottish Terrier,92.92929292929293
Shiba Inu,98.0
Siamese,88.57142857142857
Sphynx,95.42857142857143
Staffordshire Bull Terrier,72.07062600321028
Wheaten Terrier,95.0
Yorkshire Terrier,93.28571428571429
