Class Name,Accuracy
tench,90.0
goldfish,80.0
great white shark,50.0
tiger shark,40.0
hammerhead shark,40.0
electric ray,60.0
stingray,50.0
rooster,60.0
hen,80.0
ostrich,80.0
brambling,80.0
goldfinch,100.0
house finch,50.0
junco,100.0
indigo bunting,80.0
American robin,80.0
bulbul,60.0
jay,50.0
magpie,80.0
chickadee,80.0
American dipper,80.0
kite (bird of prey),90.0
bald eagle,80.0
vulture,40.0
great grey owl,100.0
fire salamander,80.0
smooth newt,40.0
eft,30.0
spotted salamander,70.0
axolotl,80.0
American bullfrog,80.0
tree frog,50.0
tailed frog,40.0
loggerhead sea turtle,70.0
leatherback sea turtle,60.0
mud turtle,40.0
terrapin,40.0
box turtle,70.0
banded gecko,80.0
green iguana,30.0
Carolina anole,50.0
desert grassland whiptail lizard,50.0
agama,60.0
frilled-necked lizard,50.0
alligator lizard,10.0
Gila monster,50.0
European green lizard,30.0
chameleon,60.0
Komodo dragon,50.0
Nile crocodile,40.0
American alligator,80.0
triceratops,70.0
worm snake,30.0
ring-necked snake,40.0
eastern hog-nosed snake,40.0
smooth green snake,30.0
kingsnake,20.0
garter snake,40.0
water snake,40.0
vine snake,20.0
night snake,0.0
boa constrictor,40.0
African rock python,40.0
Indian cobra,50.0
green mamba,70.0
sea snake,90.0
Saharan horned viper,60.0
eastern diamondback rattlesnake,50.0
sidewinder rattlesnake,40.0
trilobite,40.0
harvestman,80.0
scorpion,70.0
yellow garden spider,70.0
barn spider,40.0
European garden spider,0.0
southern black widow,100.0
tarantula,70.0
wolf spider,20.0
tick,60.0
centipede,90.0
black grouse,50.0
ptarmigan,50.0
ruffed grouse,60.0
prairie grouse,70.0
peafowl,60.0
quail,60.0
partridge,70.0
african grey parrot,100.0
macaw,90.0
sulphur-crested cockatoo,80.0
lorikeet,90.0
coucal,70.0
bee eater,90.0
hornbill,60.0
hummingbird,70.0
jacamar,70.0
toucan,60.0
duck,70.0
red-breasted merganser,100.0
goose,50.0
black swan,80.0
tusker,30.0
echidna,90.0
platypus,60.0
wallaby,70.0
koala,100.0
wombat,60.0
jellyfish,90.0
sea anemone,70.0
brain coral,70.0
flatworm,20.0
nematode,60.0
conch,40.0
snail,70.0
slug,40.0
sea slug,70.0
chiton,70.0
chambered nautilus,70.0
Dungeness crab,90.0
rock crab,50.0
fiddler crab,60.0
red king crab,70.0
American lobster,60.0
spiny lobster,80.0
crayfish,70.0
hermit crab,70.0
isopod,10.0
white stork,70.0
black stork,80.0
spoonbill,50.0
flamingo,70.0
little blue heron,100.0
great egret,50.0
bittern bird,40.0
crane bird,60.0
limpkin,30.0
common gallinule,70.0
American coot,80.0
bustard,20.0
ruddy turnstone,90.0
dunlin,90.0
common redshank,70.0
dowitcher,60.0
oystercatcher,90.0
pelican,90.0
king penguin,90.0
albatross,100.0
grey whale,100.0
killer whale,80.0
dugong,70.0
sea lion,60.0
Chihuahua,40.0
Japanese Chin,70.0
Maltese,60.0
Pekingese,40.0
Shih Tzu,40.0
King Charles Spaniel,70.0
Papillon,60.0
toy terrier,30.0
Rhodesian Ridgeback,30.0
Afghan Hound,60.0
Basset Hound,70.0
Beagle,40.0
Bloodhound,60.0
Bluetick Coonhound,30.0
Black and Tan Coonhound,60.0
Treeing Walker Coonhound,40.0
English foxhound,50.0
Redbone Coonhound,30.0
borzoi,60.0
Irish Wolfhound,40.0
Italian Greyhound,80.0
Whippet,60.0
Ibizan Hound,20.0
Norwegian Elkhound,50.0
Otterhound,30.0
Saluki,30.0
Scottish Deerhound,30.0
Weimaraner,60.0
Staffordshire Bull Terrier,60.0
American Staffordshire Terrier,60.0
Bedlington Terrier,30.0
Border Terrier,40.0
Kerry Blue Terrier,70.0
Irish Terrier,50.0
Norfolk Terrier,40.0
Norwich Terrier,30.0
Yorkshire Terrier,20.0
Wire Fox Terrier,60.0
Lakeland Terrier,50.0
Sealyham Terrier,70.0
Airedale Terrier,40.0
Cairn Terrier,40.0
Australian Terrier,30.0
Dandie Dinmont Terrier,40.0
Boston Terrier,90.0
Miniature Schnauzer,50.0
Giant Schnauzer,20.0
Standard Schnauzer,10.0
Scottish Terrier,50.0
Tibetan Terrier,30.0
Australian Silky Terrier,20.0
Soft-coated Wheaten Terrier,50.0
West Highland White Terrier,50.0
Lhasa Apso,20.0
Flat-Coated Retriever,70.0
Curly-coated Retriever,40.0
Golden Retriever,40.0
Labrador Retriever,70.0
Chesapeake Bay Retriever,70.0
German Shorthaired Pointer,20.0
Vizsla,70.0
English Setter,70.0
Irish Setter,50.0
Gordon Setter,60.0
Brittany dog,40.0
Clumber Spaniel,40.0
English Springer Spaniel,60.0
Welsh Springer Spaniel,60.0
Cocker Spaniel,30.0
Sussex Spaniel,70.0
Irish Water Spaniel,70.0
Kuvasz,20.0
Schipperke,40.0
Groenendael dog,20.0
Malinois,60.0
Briard,20.0
Australian Kelpie,40.0
Komondor,40.0
Old English Sheepdog,20.0
Shetland Sheepdog,60.0
collie,10.0
Border Collie,50.0
Bouvier des Flandres dog,10.0
Rottweiler,50.0
German Shepherd Dog,50.0
Dobermann,40.0
Miniature Pinscher,60.0
Greater Swiss Mountain Dog,70.0
Bernese Mountain Dog,40.0
Appenzeller Sennenhund,0.0
Entlebucher Sennenhund,50.0
Boxer,10.0
Bullmastiff,70.0
Tibetan Mastiff,100.0
French Bulldog,40.0
Great Dane,10.0
St. Bernard,80.0
husky,30.0
Alaskan Malamute,40.0
Siberian Husky,10.0
Dalmatian,70.0
Affenpinscher,40.0
Basenji,40.0
pug,90.0
Leonberger,90.0
Newfoundland dog,60.0
Great Pyrenees dog,40.0
Samoyed,40.0
Pomeranian,20.0
Chow Chow,20.0
Keeshond,80.0
brussels griffon,30.0
Pembroke Welsh Corgi,90.0
Cardigan Welsh Corgi,30.0
Toy Poodle,40.0
Miniature Poodle,50.0
Standard Poodle,70.0
Mexican hairless dog (xoloitzcuintli),60.0
grey wolf,50.0
Alaskan tundra wolf,80.0
red wolf or maned wolf,60.0
coyote,90.0
dingo,70.0
dhole,80.0
African wild dog,90.0
hyena,90.0
red fox,80.0
kit fox,30.0
Arctic fox,90.0
grey fox,50.0
tabby cat,90.0
tiger cat,20.0
Persian cat,70.0
Siamese cat,90.0
Egyptian Mau,80.0
cougar,70.0
lynx,100.0
leopard,40.0
snow leopard,100.0
jaguar,60.0
lion,90.0
tiger,90.0
cheetah,70.0
brown bear,90.0
American black bear,90.0
polar bear,90.0
sloth bear,60.0
mongoose,70.0
meerkat,90.0
tiger beetle,90.0
ladybug,70.0
ground beetle,40.0
longhorn beetle,40.0
leaf beetle,40.0
dung beetle,70.0
rhinoceros beetle,80.0
weevil,70.0
fly,80.0
bee,80.0
ant,80.0
grasshopper,70.0
cricket insect,20.0
stick insect,80.0
cockroach,20.0
praying mantis,20.0
cicada,90.0
leafhopper,90.0
lacewing,60.0
dragonfly,90.0
damselfly,100.0
red admiral butterfly,50.0
ringlet butterfly,100.0
monarch butterfly,90.0
small white butterfly,70.0
sulphur butterfly,100.0
gossamer-winged butterfly,10.0
starfish,70.0
sea urchin,30.0
sea cucumber,50.0
cottontail rabbit,80.0
hare,60.0
Angora rabbit,90.0
hamster,90.0
porcupine,50.0
fox squirrel,80.0
marmot,70.0
beaver,80.0
guinea pig,100.0
common sorrel horse,90.0
zebra,80.0
pig,60.0
wild boar,50.0
warthog,70.0
hippopotamus,70.0
ox,40.0
water buffalo,80.0
bison,80.0
ram (adult male sheep),70.0
bighorn sheep,80.0
Alpine ibex,70.0
hartebeest,70.0
impala (antelope),100.0
gazelle,70.0
arabian camel,60.0
llama,80.0
weasel,40.0
mink,70.0
European polecat,70.0
black-footed ferret,40.0
otter,60.0
skunk,70.0
badger,100.0
armadillo,80.0
three-toed sloth,70.0
orangutan,100.0
gorilla,80.0
chimpanzee,40.0
gibbon,60.0
siamang,70.0
guenon,50.0
patas monkey,60.0
baboon,50.0
macaque,20.0
langur,30.0
black-and-white colobus,70.0
proboscis monkey,60.0
marmoset,50.0
white-headed capuchin,70.0
howler monkey,20.0
titi monkey,30.0
Geoffroy's spider monkey,50.0
common squirrel monkey,100.0
ring-tailed lemur,80.0
indri,60.0
Asian elephant,100.0
African bush elephant,0.0
red panda,90.0
giant panda,100.0
snoek fish,10.0
eel,10.0
silver salmon,100.0
rock beauty fish,50.0
clownfish,60.0
sturgeon,50.0
gar fish,30.0
lionfish,80.0
pufferfish,50.0
abacus,90.0
abaya,30.0
academic gown,80.0
accordion,70.0
acoustic guitar,60.0
aircraft carrier,100.0
airliner,80.0
airship,80.0
altar,60.0
ambulance,70.0
amphibious vehicle,60.0
analog clock,20.0
apiary,90.0
apron,30.0
trash can,40.0
assault rifle,70.0
backpack,10.0
bakery,20.0
balance beam,10.0
balloon,40.0
ballpoint pen,30.0
Band-Aid,80.0
banjo,60.0
baluster / handrail,40.0
barbell,50.0
barber chair,40.0
barbershop,80.0
barn,80.0
barometer,70.0
barrel,60.0
wheelbarrow,50.0
baseball,40.0
basketball,90.0
bassinet,80.0
bassoon,50.0
swimming cap,50.0
bath towel,40.0
bathtub,30.0
station wagon,40.0
lighthouse,80.0
beaker,30.0
military hat (bearskin or shako),50.0
beer bottle,30.0
beer glass,50.0
bell tower,20.0
baby bib,80.0
tandem bicycle,90.0
bikini,50.0
ring binder,50.0
binoculars,70.0
birdhouse,70.0
boathouse,50.0
bobsleigh,100.0
bolo tie,40.0
poke bonnet,30.0
bookcase,70.0
bookstore,90.0
bottle cap,40.0
hunting bow,50.0
bow tie,10.0
brass memorial plaque,90.0
bra,0.0
breakwater,40.0
breastplate,10.0
broom,20.0
bucket,70.0
buckle,20.0
bulletproof vest,90.0
high-speed train,90.0
butcher shop,70.0
taxicab,70.0
cauldron,30.0
candle,40.0
cannon,80.0
canoe,80.0
can opener,30.0
cardigan,70.0
car mirror,90.0
carousel,90.0
tool kit,60.0
cardboard box / carton,40.0
car wheel,30.0
automated teller machine,60.0
cassette,30.0
cassette player,20.0
castle,80.0
catamaran,40.0
CD player,50.0
cello,90.0
mobile phone,60.0
chain,20.0
chain-link fence,30.0
chain mail,10.0
chainsaw,30.0
storage chest,20.0
chiffonier,60.0
bell or wind chime,30.0
china cabinet,60.0
Christmas stocking,90.0
church,20.0
movie theater,60.0
cleaver,50.0
cliff dwelling,80.0
cloak,20.0
clogs,50.0
cocktail shaker,60.0
coffee mug,20.0
coffeemaker,10.0
spiral or coil,70.0
combination lock,20.0
computer keyboard,30.0
candy store,60.0
container ship,80.0
convertible,70.0
corkscrew,40.0
cornet,60.0
cowboy boot,50.0
cowboy hat,70.0
cradle,10.0
construction crane,70.0
crash helmet,40.0
crate,40.0
infant bed,100.0
Crock Pot,60.0
croquet ball,90.0
crutch,10.0
cuirass,60.0
dam,50.0
desk,60.0
desktop computer,10.0
rotary dial telephone,70.0
diaper,40.0
digital clock,60.0
digital watch,100.0
dining table,50.0
dishcloth,90.0
dishwasher,60.0
disc brake,80.0
dock,20.0
dog sled,100.0
dome,60.0
doormat,70.0
drilling rig,80.0
drum,40.0
drumstick,0.0
dumbbell,40.0
Dutch oven,70.0
electric fan,40.0
electric guitar,50.0
electric locomotive,80.0
entertainment center,40.0
envelope,40.0
espresso machine,40.0
face powder,70.0
feather boa,40.0
filing cabinet,70.0
fireboat,100.0
fire truck,100.0
fire screen,70.0
flagpole,70.0
flute,30.0
folding chair,20.0
football helmet,90.0
forklift,50.0
fountain,60.0
fountain pen,80.0
four-poster bed,70.0
freight car,80.0
French horn,30.0
frying pan,40.0
fur coat,50.0
garbage truck,80.0
gas mask or respirator,70.0
gas pump,60.0
goblet,50.0
go-kart,80.0
golf ball,40.0
golf cart,80.0
gondola,90.0
gong,60.0
gown,50.0
grand piano,90.0
greenhouse,80.0
radiator grille,10.0
grocery store,30.0
guillotine,80.0
hair clip,50.0
hair spray,40.0
half-track,90.0
hammer,0.0
hamper,60.0
hair dryer,30.0
hand-held computer,10.0
handkerchief,30.0
hard disk drive,60.0
harmonica,70.0
harp,90.0
combine harvester,90.0
hatchet,40.0
holster,50.0
home theater,70.0
honeycomb,30.0
hook,10.0
hoop skirt,40.0
gymnastic horizontal bar,80.0
horse-drawn vehicle,70.0
hourglass,90.0
iPod,40.0
clothes iron,60.0
carved pumpkin,100.0
jeans,40.0
jeep,60.0
T-shirt,60.0
jigsaw puzzle,90.0
rickshaw,90.0
joystick,70.0
kimono,90.0
knee pad,70.0
knot,10.0
lab coat,40.0
ladle,20.0
lampshade,30.0
laptop computer,60.0
lawn mower,70.0
lens cap,40.0
letter opener,10.0
library,80.0
lifeboat,90.0
lighter,10.0
limousine,90.0
ocean liner,80.0
lipstick,80.0
slip-on shoe,40.0
lotion,40.0
music speaker,50.0
loupe magnifying glass,20.0
sawmill,60.0
magnetic compass,50.0
messenger bag,40.0
mailbox,80.0
maillot,0.0
one-piece bathing suit,90.0
manhole cover,80.0
maraca,80.0
marimba,90.0
mask,50.0
matchstick,50.0
maypole,70.0
maze,90.0
measuring cup,80.0
medicine cabinet,10.0
megalith,90.0
microphone,30.0
microwave oven,60.0
military uniform,50.0
milk can,0.0
minibus,70.0
miniskirt,70.0
minivan,50.0
missile,70.0
mitten,80.0
mixing bowl,70.0
mobile home,70.0
ford model t,70.0
modem,70.0
monastery,20.0
monitor,10.0
moped,50.0
mortar and pestle,60.0
graduation cap,20.0
mosque,90.0
mosquito net,80.0
vespa,20.0
mountain bike,100.0
tent,80.0
computer mouse,20.0
mousetrap,60.0
moving van,50.0
muzzle,20.0
metal nail,0.0
neck brace,60.0
necklace,70.0
baby pacifier,10.0
notebook computer,0.0
obelisk,70.0
oboe,30.0
ocarina,80.0
odometer,100.0
oil filter,40.0
pipe organ,70.0
oscilloscope,90.0
overskirt,30.0
bullock cart,70.0
oxygen mask,60.0
product packet / packaging,60.0
paddle,10.0
paddle wheel,50.0
padlock,60.0
paintbrush,40.0
pajamas,40.0
palace,50.0
pan flute,50.0
paper towel,0.0
parachute,80.0
parallel bars,10.0
park bench,40.0
parking meter,50.0
railroad car,20.0
patio,70.0
payphone,70.0
pedestal,20.0
pencil case,40.0
pencil sharpener,30.0
perfume,80.0
Petri dish,70.0
photocopier,80.0
plectrum,100.0
Pickelhaube,20.0
picket fence,70.0
pickup truck,70.0
pier,20.0
piggy bank,60.0
pill bottle,50.0
pillow,50.0
ping-pong ball,40.0
pinwheel,30.0
pirate ship,80.0
drink pitcher,0.0
block plane,60.0
planetarium,40.0
plastic bag,40.0
plate rack,40.0
farm plow,10.0
plunger,20.0
Polaroid camera,80.0
pole,30.0
police van,50.0
poncho,50.0
pool table,80.0
soda bottle,60.0
plant pot,20.0
potter's wheel,40.0
power drill,50.0
prayer rug,60.0
printer,20.0
prison,80.0
projectile,0.0
projector,30.0
hockey puck,70.0
punching bag,80.0
purse,10.0
quill,40.0
quilt,30.0
race car,70.0
racket,70.0
radiator,20.0
radio,20.0
radio telescope,100.0
rain barrel,50.0
recreational vehicle,100.0
fishing casting reel,50.0
reflex camera,70.0
refrigerator,70.0
remote control,80.0
restaurant,70.0
revolver,70.0
rifle,20.0
rocking chair,30.0
rotisserie,80.0
eraser,50.0
rugby ball,90.0
ruler measuring stick,10.0
sneaker,70.0
safe,10.0
safety pin,20.0
salt shaker,30.0
sandal,50.0
sarong,60.0
saxophone,60.0
scabbard,20.0
weighing scale,50.0
school bus,90.0
schooner,50.0
scoreboard,90.0
CRT monitor,30.0
screw,70.0
screwdriver,10.0
seat belt,30.0
sewing machine,50.0
shield,20.0
shoe store,50.0
shoji screen / room divider,60.0
shopping basket,20.0
shopping cart,60.0
shovel,30.0
shower cap,80.0
shower curtain,70.0
ski,90.0
balaclava ski mask,70.0
sleeping bag,60.0
slide rule,60.0
sliding door,40.0
slot machine,50.0
snorkel,50.0
snowmobile,80.0
snowplow,90.0
soap dispenser,40.0
soccer ball,90.0
sock,60.0
solar thermal collector,50.0
sombrero,90.0
soup bowl,60.0
keyboard space bar,30.0
space heater,50.0
space shuttle,80.0
spatula,20.0
motorboat,60.0
spider web,80.0
spindle,20.0
sports car,60.0
spotlight,10.0
stage,20.0
steam locomotive,80.0
through arch bridge,20.0
steel drum,80.0
stethoscope,70.0
scarf,60.0
stone wall,30.0
stopwatch,60.0
stove,20.0
strainer,30.0
tram,60.0
stretcher,70.0
couch,60.0
stupa,90.0
submarine,50.0
suit,50.0
sundial,50.0
sunglass,20.0
sunglasses,20.0
sunscreen,30.0
suspension bridge,100.0
mop,60.0
sweatshirt,60.0
swim trunks / shorts,70.0
swing,90.0
electrical switch,60.0
syringe,20.0
table lamp,40.0
tank,60.0
tape player,40.0
teapot,80.0
teddy bear,50.0
television,40.0
tennis ball,20.0
thatched roof,80.0
front curtain,60.0
thimble,30.0
threshing machine,30.0
throne,40.0
tile roof,70.0
toaster,20.0
tobacco shop,70.0
toilet seat,20.0
torch,40.0
totem pole,100.0
tow truck,30.0
toy store,60.0
tractor,70.0
semi-trailer truck,70.0
tray,40.0
trench coat,30.0
tricycle,70.0
trimaran,50.0
tripod,60.0
triumphal arch,80.0
trolleybus,90.0
trombone,70.0
hot tub,0.0
turnstile,90.0
typewriter keyboard,80.0
umbrella,40.0
unicycle,60.0
upright piano,60.0
vacuum cleaner,80.0
vase,60.0
vaulted or arched ceiling,40.0
velvet fabric,0.0
vending machine,80.0
vestment,80.0
viaduct,60.0
violin,60.0
volleyball,80.0
waffle iron,20.0
