Class Name,Accuracy
Abyssinian,88.77551020408163
American Bulldog,97.0
American Pit Bull Terrier,67.0
Basset Hound,94.0
Beagle,94.0
Bengal,89.0
Birman,68.0
Bombay,73.86363636363636
Boxer,81.81818181818181
British Shorthair,77.0
Chihuahua,93.0
Egyptian Mau,81.44329896907216
English Cocker Spaniel,87.0
English Setter,95.0
German Shorthaired,99.0
Great Pyrenees,89.0
Havanese,91.0
Japanese Chin,93.0
Keeshond,97.97979797979798
Leonberger,94.0
Maine Coon,74.0
Miniature Pinscher,99.0
Newfoundland,93.0
Persian,88.0
Pomeranian,99.0
Pug,98.0
Ragdoll,56.0
Russian Blue,98.0
Saint Bernard,92.0
Samoyed,100.0
Scottish Terrier,98.98989898989899
Shiba Inu,99.0
Siamese,95.0
Sphynx,99.0
Staffordshire Bull Terrier,64.04494382022472
Wheaten Terrier,94.0
Yorkshire Terrier,97.0
