Class Name,Accuracy
Abyssinian,86.73469387755102
American Bulldog,72.0
American Pit Bull Terrier,85.0
Basset Hound,93.0
Beagle,84.0
Bengal,64.0
Birman,86.0
Bombay,0.0
Boxer,50.505050505050505
British Shorthair,86.0
Chihuahua,87.0
Egyptian Mau,84.5360824742268
English Cocker Spaniel,97.0
English Setter,81.0
German Shorthaired,92.0
Great Pyrenees,95.0
Havanese,87.0
Japanese Chin,96.0
Keeshond,96.96969696969697
Leonberger,88.0
Maine Coon,91.0
Miniature Pinscher,92.0
Newfoundland,77.0
Persian,0.0
Pomeranian,88.0
Pug,99.0
Ragdoll,48.0
Russian Blue,91.0
Saint Bernard,87.0
Samoyed,98.0
Scottish Terrier,92.92929292929293
Shiba Inu,98.0
Siamese,82.0
Sphynx,93.0
Staffordshire Bull Terrier,61.79775280898876
Wheaten Terrier,95.0
Yorkshire Terrier,93.0
