Class Name,Accuracy
Abyssinian,70.99125364431487
American Bulldog,56.714285714285715
American Pit Bull Terrier,91.42857142857143
Basset Hound,95.0
Beagle,79.42857142857143
Bengal,26.428571428571427
Birman,79.42857142857143
Bombay,0.0
Boxer,7.359307359307359
British Shorthair,86.0
Chihuahua,78.28571428571429
Egyptian Mau,93.0780559646539
English Cocker Spaniel,95.57142857142857
English Setter,82.14285714285714
German Shorthaired,90.85714285714286
Great Pyrenees,95.85714285714286
Havanese,88.85714285714286
Japanese Chin,98.0
Keeshond,97.40259740259741
Leonberger,89.42857142857143
Maine Coon,95.28571428571429
Miniature Pinscher,93.0
Newfoundland,22.428571428571427
Persian,0.0
Pomeranian,82.85714285714286
Pug,99.0
Ragdoll,22.714285714285715
Russian Blue,91.28571428571429
Saint Bernard,84.28571428571429
Samoyed,98.0
Scottish Terrier,92.20779220779221
Shiba Inu,97.0
Siamese,79.85714285714286
Sphynx,78.85714285714286
Staffordshire Bull Terrier,51.203852327447834
Wheaten Terrier,95.28571428571429
Yorkshire Terrier,90.0
