savename=equal_number_random_selection_comparative; dataset=imagenet; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,62.92919993400574,0.08229191263766601,63.08199763298035,62.84000277519226,88.43000054359436,0.07942872000433095,88.5640025138855,88.32200169563293
savename=equal_number_random_selection_comparative; dataset=imagenetv2; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,55.66199779510498,0.18701889832107566,55.83999752998352,55.299997329711914,82.70799994468689,0.10303411091758774,82.8499972820282,82.52999782562256
savename=equal_number_random_selection_comparative; dataset=caltech256; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,81.58771634101868,0.3247905528781476,81.83600306510925,81.002938747406,93.71773958206177,0.3134521053337281,94.05422806739807,93.18850040435791
savename=equal_number_random_selection_comparative; dataset=cifar100; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,64.32000041007996,0.18439168305533396,64.50999975204468,63.999998569488525,88.59800100326538,0.16726070569657558,88.84000182151794,88.37000131607056
savename=equal_number_random_selection_comparative; dataset=cub; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,53.36900234222412,0.356961358986924,53.848809003829956,52.76147723197937,84.92578506469727,0.13261408451439952,85.12253761291504,84.70832109451294
savename=equal_number_random_selection_comparative; dataset=eurosat; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,38.7925922870636,2.9974701174744425,42.77777671813965,34.49999988079071,89.07037019729614,1.5109302837895189,91.07407331466675,86.74073815345764
savename=equal_number_random_selection_comparative; dataset=places365; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,40.568766593933105,0.16748295340389288,40.827396512031555,40.30410945415497,71.43068552017212,0.12854460276148585,71.6082215309143,71.27397060394287
savename=equal_number_random_selection_comparative; dataset=food101; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,83.07643532752991,0.14806612343626718,83.36237668991089,82.95841813087463,96.99881196022034,0.06690039300343206,97.10494875907898,96.91485166549683
savename=equal_number_random_selection_comparative; dataset=pets; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,86.27418994903564,0.3076830926933729,86.86290383338928,86.01799011230469,99.28590893745422,0.3027198671486503,99.67293739318848,98.8280177116394
savename=equal_number_random_selection_comparative; dataset=dtd; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,45.57446837425232,0.8909538806532687,47.1808522939682,44.68085169792175,77.15957403182983,0.6172045268904996,78.13829779624939,76.382976770401
savename=equal_number_random_selection_comparative; dataset=flowers102; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,65.38624048233032,1.2306380298343964,66.84013605117798,64.04293179512024,85.23337125778198,0.46238937096825145,85.67246794700623,84.38770771026611
savename=equal_number_random_selection_comparative; dataset=fgvcaircraft; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,27.422742247581482,0.6684671272997069,28.112810850143433,26.282629370689392,64.89648938179016,0.8113032333003557,65.76657891273499,63.36633563041687
savename=equal_number_random_selection_comparative; dataset=cars; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,57.08245277404785,0.20660721928961406,57.31874108314514,56.796419620513916,90.17037749290466,0.35039395272760626,90.61062335968018,89.77739214897156
