savename=equal_number_random_selection_dclip; dataset=imagenet; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,63.29079985618591,0.10400605353686507,63.388001918792725,63.10799717903137,88.61400008201599,0.03878307901391505,88.67400288581848,88.57799768447876
savename=equal_number_random_selection_dclip; dataset=imagenetv2; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,55.6879997253418,0.1638786897769573,55.87000250816345,55.41999936103821,82.91999936103821,0.03949735300412947,82.9800009727478,82.85999894142151
savename=equal_number_random_selection_dclip; dataset=caltech256; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,80.95067024230957,0.1695638352952395,81.13361597061157,80.64358234405518,93.3747136592865,0.31345405595781606,93.8582181930542,93.05782318115234
savename=equal_number_random_selection_dclip; dataset=cifar100; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,64.43599939346313,0.10762802315499716,64.6399974822998,64.32999968528748,88.59799981117249,0.16141923450136927,88.78999948501587,88.34999799728394
savename=equal_number_random_selection_dclip; dataset=cub; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,53.331031799316406,0.28254638989240627,53.72799634933472,52.89955139160156,84.90162253379822,0.05918580208630929,84.94994640350342,84.79461669921875
savename=equal_number_random_selection_dclip; dataset=eurosat; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,36.162962913513184,4.169955869145013,41.57407283782959,31.796297430992126,86.56296253204346,0.9916399431001415,87.90740966796875,85.01851558685303
savename=equal_number_random_selection_dclip; dataset=places365; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,40.8515065908432,0.130721680656521,41.00548028945923,40.67945182323456,71.60274028778076,0.12402178671425035,71.73698544502258,71.38630151748657
savename=equal_number_random_selection_dclip; dataset=food101; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,82.79287099838257,0.18003720396411085,83.00594091415405,82.58217573165894,96.84990048408508,0.061434155362124564,96.91880941390991,96.76039814949036
savename=equal_number_random_selection_dclip; dataset=pets; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,84.9495780467987,0.2754815510655098,85.1458191871643,84.4099223613739,99.17688727378845,0.20928132134617555,99.37312602996826,98.8280177116394
savename=equal_number_random_selection_dclip; dataset=dtd; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,43.957446813583374,0.41284267845982214,44.41489279270172,43.29787194728851,73.84042501449585,0.6350969465313391,74.46808218955994,72.65957593917847
savename=equal_number_random_selection_dclip; dataset=flowers102; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,66.22540235519409,0.5256085478549316,67.10034012794495,65.71800112724304,85.06098628044128,0.14162577868004322,85.31468510627747,84.90811586380005
savename=equal_number_random_selection_dclip; dataset=fgvcaircraft; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,26.93069338798523,0.6816953939111013,27.84278392791748,25.952595472335815,64.54845547676086,0.4296183150716749,65.0765061378479,63.96639943122864
savename=equal_number_random_selection_dclip; dataset=cars; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,57.87340044975281,0.39590297429822874,58.3385169506073,57.39336013793945,90.59072256088257,0.1628343499701952,90.80960154533386,90.39920568466187
