savename=ours; dataset=imagenet; mode=comparative; model_size=ViT-B/32,64.03599977493286,0.0,64.03599977493286,64.03599977493286,88.92800211906433,0.0,88.92800211906433,88.92800211906433
savename=ours; dataset=imagenetv2; mode=comparative; model_size=ViT-B/32,56.62999749183655,0.0,56.62999749183655,56.62999749183655,83.27999711036682,0.0,83.27999711036682,83.27999711036682
savename=ours; dataset=caltech256; mode=comparative; model_size=ViT-B/32,82.26069808006287,0.0,82.26069808006287,82.26069808006287,93.89088749885559,0.0,93.89088749885559,93.89088749885559
savename=ours; dataset=cifar100; mode=comparative; model_size=ViT-B/32,65.68999886512756,0.0,65.68999886512756,65.68999886512756,89.01000022888184,0.0,89.01000022888184,89.01000022888184
savename=ours; dataset=cub; mode=comparative; model_size=ViT-B/32,54.21125292778015,0.0,54.21125292778015,54.21125292778015,85.27787327766418,0.0,85.27787327766418,85.27787327766418
savename=ours; dataset=eurosat; mode=comparative; model_size=ViT-B/32,42.51851737499237,0.0,42.51851737499237,42.51851737499237,88.20370435714722,0.0,88.20370435714722,88.20370435714722
savename=ours; dataset=places365; mode=comparative; model_size=ViT-B/32,42.21643805503845,0.0,42.21643805503845,42.21643805503845,72.98356294631958,0.0,72.98356294631958,72.98356294631958
savename=ours; dataset=food101; mode=comparative; model_size=ViT-B/32,83.82177948951721,0.0,83.82177948951721,83.82177948951721,97.17623591423035,0.0,97.17623591423035,97.17623591423035
savename=ours; dataset=pets; mode=comparative; model_size=ViT-B/32,87.43526935577393,0.0,87.43526935577393,87.43526935577393,99.18233752250671,0.0,99.18233752250671,99.18233752250671
savename=ours; dataset=dtd; mode=comparative; model_size=ViT-B/32,46.648937463760376,0.0,46.648937463760376,46.648937463760376,78.61701846122742,0.0,78.61701846122742,78.61701846122742
savename=ours; dataset=flowers102; mode=comparative; model_size=ViT-B/32,67.06781387329102,0.0,67.06781387329102,67.06781387329102,85.59115529060364,0.0,85.59115529060364,85.59115529060364
savename=ours; dataset=fgvcaircraft; mode=comparative; model_size=ViT-B/32,27.60275900363922,0.0,27.60275900363922,27.60275900363922,66.06660485267639,0.0,66.06660485267639,66.06660485267639
savename=ours; dataset=cars; mode=comparative; model_size=ViT-B/32,59.28367376327515,0.0,59.28367376327515,59.28367376327515,91.21999740600586,0.0,91.21999740600586,91.21999740600586

savename=ours; dataset=imagenet; mode=comparative; model_size=ViT-L/14,76.0420024394989,0.0,76.0420024394989,76.0420024394989,94.85200047492981,0.0,94.85200047492981,94.85200047492981
savename=ours; dataset=imagenetv2; mode=comparative; model_size=ViT-L/14,70.49000263214111,0.0,70.49000263214111,70.49000263214111,91.22999906539917,0.0,91.22999906539917,91.22999906539917
savename=ours; dataset=caltech256; mode=comparative; model_size=ViT-L/14,90.67298173904419,0.0,90.67298173904419,90.67298173904419,96.40640020370483,0.0,96.40640020370483,96.40640020370483
savename=ours; dataset=cifar100; mode=comparative; model_size=ViT-L/14,79.71000075340271,0.0,79.71000075340271,79.71000075340271,94.8199987411499,0.0,94.8199987411499,94.8199987411499
savename=ours; dataset=cub; mode=comparative; model_size=ViT-L/14,65.77494144439697,0.0,65.77494144439697,65.77494144439697,93.18260550498962,0.0,93.18260550498962,93.18260550498962
savename=ours; dataset=eurosat; mode=comparative; model_size=ViT-L/14,61.87037229537964,0.0,61.87037229537964,61.87037229537964,96.85184955596924,0.0,96.85184955596924,96.85184955596924
savename=ours; dataset=places365; mode=comparative; model_size=ViT-L/14,43.821918964385986,0.0,43.821918964385986,43.821918964385986,72.58356213569641,0.0,72.58356213569641,72.58356213569641
savename=ours; dataset=food101; mode=comparative; model_size=ViT-L/14,93.5405969619751,0.0,93.5405969619751,93.5405969619751,99.38613772392273,0.0,99.38613772392273,99.38613772392273
savename=ours; dataset=pets; mode=comparative; model_size=ViT-L/14,94.5489227771759,0.0,94.5489227771759,94.5489227771759,99.86372590065002,0.0,99.86372590065002,99.86372590065002
savename=ours; dataset=dtd; mode=comparative; model_size=ViT-L/14,57.87234306335449,0.0,57.87234306335449,57.87234306335449,85.47872304916382,0.0,85.47872304916382,85.47872304916382
savename=ours; dataset=flowers102; mode=comparative; model_size=ViT-L/14,79.18360829353333,0.0,79.18360829353333,79.18360829353333,90.97414016723633,0.0,90.97414016723633,90.97414016723633
savename=ours; dataset=fgvcaircraft; mode=comparative; model_size=ViT-L/14,51.125115156173706,0.0,51.125115156173706,51.125115156173706,89.04890418052673,0.0,89.04890418052673,89.04890418052673
savename=ours; dataset=cars; mode=comparative; model_size=ViT-L/14,76.66956782341003,0.0,76.66956782341003,76.66956782341003,98.20917844772339,0.0,98.20917844772339,98.20917844772339

savename=ours; dataset=imagenet; mode=comparative; model_size=RN50,60.843998193740845,0.0,60.843998193740845,60.843998193740845,86.76400184631348,0.0,86.76400184631348,86.76400184631348
savename=ours; dataset=imagenetv2; mode=comparative; model_size=RN50,53.24000120162964,0.0,53.24000120162964,53.24000120162964,81.33999705314636,0.0,81.33999705314636,81.33999705314636
savename=ours; dataset=caltech256; mode=comparative; model_size=RN50,80.08820414543152,0.0,80.08820414543152,80.08820414543152,93.0088222026825,0.0,93.0088222026825,93.0088222026825
savename=ours; dataset=cifar100; mode=comparative; model_size=RN50,44.01000142097473,0.0,44.01000142097473,44.01000142097473,75.06999969482422,0.0,75.06999969482422,75.06999969482422
savename=ours; dataset=cub; mode=comparative; model_size=RN50,48.92992675304413,0.0,48.92992675304413,48.92992675304413,82.74076581001282,0.0,82.74076581001282,82.74076581001282
savename=ours; dataset=eurosat; mode=comparative; model_size=RN50,33.96296203136444,0.0,33.96296203136444,33.96296203136444,81.42592310905457,0.0,81.42592310905457,81.42592310905457
savename=ours; dataset=places365; mode=comparative; model_size=RN50,40.38630127906799,0.0,40.38630127906799,40.38630127906799,71.67397141456604,0.0,71.67397141456604,71.67397141456604
savename=ours; dataset=food101; mode=comparative; model_size=RN50,79.83762621879578,0.0,79.83762621879578,79.83762621879578,96.15841507911682,0.0,96.15841507911682,96.15841507911682
savename=ours; dataset=pets; mode=comparative; model_size=RN50,86.26328706741333,0.0,86.26328706741333,86.26328706741333,99.45489168167114,0.0,99.45489168167114,99.45489168167114
savename=ours; dataset=dtd; mode=comparative; model_size=RN50,43.191489577293396,0.0,43.191489577293396,43.191489577293396,76.11702084541321,0.0,76.11702084541321,76.11702084541321
savename=ours; dataset=flowers102; mode=comparative; model_size=RN50,67.19791889190674,0.0,67.19791889190674,67.19791889190674,83.76972079277039,0.0,83.76972079277039,83.76972079277039
savename=ours; dataset=fgvcaircraft; mode=comparative; model_size=RN50,24.332433938980103,0.0,24.332433938980103,24.332433938980103,59.34593677520752,0.0,59.34593677520752,59.34593677520752
savename=ours; dataset=cars; mode=comparative; model_size=RN50,54.284292459487915,0.0,54.284292459487915,54.284292459487915,88.95659446716309,0.0,88.95659446716309,88.95659446716309
