
savename=ours_concept; dataset=cub; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a bird: a ,53.7797749042511,0.0,53.7797749042511,53.7797749042511,86.20986938476562,0.0,86.20986938476562,86.20986938476562
savename=ours_concept; dataset=eurosat; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a satellite photo: a ,50.5740761756897,0.0,50.5740761756897,50.5740761756897,92.77777671813965,0.0,92.77777671813965,92.77777671813965
savename=ours_concept; dataset=places365; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a place: a ,42.25205481052399,0.0,42.25205481052399,42.25205481052399,72.82191514968872,0.0,72.82191514968872,72.82191514968872
savename=ours_concept; dataset=food101; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a food: a ,84.93861556053162,0.0,84.93861556053162,84.93861556053162,97.55247235298157,0.0,97.55247235298157,97.55247235298157
savename=ours_concept; dataset=pets; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a pet: a ,88.79804015159607,0.0,88.79804015159607,88.79804015159607,99.56391453742981,0.0,99.56391453742981,99.56391453742981
savename=ours_concept; dataset=dtd; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a texture: a ,44.574469327926636,0.0,44.574469327926636,44.574469327926636,78.29787135124207,0.0,78.29787135124207,78.29787135124207
savename=ours_concept; dataset=flowers102; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a flower: a ,68.41762661933899,0.0,68.41762661933899,68.41762661933899,87.5101625919342,0.0,87.5101625919342,87.5101625919342
savename=ours_concept; dataset=fgvcaircraft; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a aircraft: a ,29.4329434633255,0.0,29.4329434633255,29.4329434633255,67.89678931236267,0.0,67.89678931236267,67.89678931236267
savename=ours_concept; dataset=cars; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a car: a ,59.83086824417114,0.0,59.83086824417114,59.83086824417114,91.15781784057617,0.0,91.15781784057617,91.15781784057617

savename=ours_concept; dataset=cub; mode=comparative; model_size=ViT-L/14; label_before_text=A photo of a bird: a ,64.68760967254639,0.0,64.68760967254639,64.68760967254639,93.32067370414734,0.0,93.32067370414734,93.32067370414734
savename=ours_concept; dataset=eurosat; mode=comparative; model_size=ViT-L/14; label_before_text=A photo of a satellite photo: a ,64.40740823745728,0.0,64.40740823745728,64.40740823745728,95.88888883590698,0.0,95.88888883590698,95.88888883590698
