savename=ours_filtered_concept; dataset=cub; k=5; shot=16; mode=filtered; reps=5; model_size=ViT-B/32; label_before_text=A photo of a bird: a ,56.22713088989258,0.1478265602219126,56.38591647148132,56.006211042404175,87.51121878623962,0.13919213430537328,87.72868514060974,87.29720115661621
savename=ours_filtered_concept; dataset=eurosat; k=10; shot=32; mode=filtered; reps=5; model_size=ViT-B/32; label_before_text=A photo of a satellite photo: a ,57.28518605232239,0.4693043876715477,58.0740749835968,56.703704595565796,95.26666641235352,0.10961916557365624,95.46296000480652,95.12962698936462
savename=ours_filtered_concept; dataset=places365; k=15; shot=64; mode=filtered; reps=5; model_size=ViT-B/32; label_before_text=A photo of a place: a ,44.366576075553894,0.034149176445709944,44.40000057220459,44.30958926677704,74.77589011192322,0.07855621048846079,74.87123012542725,74.66575503349304
savename=ours_filtered_concept; dataset=food101; k=20; shot=64; mode=filtered; reps=5; model_size=ViT-B/32; label_before_text=A photo of a food: a ,85.12475252151489,0.04015502103560833,85.16435623168945,85.04950404167175,97.65306830406189,0.016156140131396015,97.66732454299927,97.62375950813293
savename=ours_filtered_concept; dataset=pets; k=20; shot=16; mode=filtered; reps=5; model_size=ViT-B/32; label_before_text=A photo of a pet: a ,87.69692063331604,0.2316556136540693,87.98037767410278,87.32624650001526,99.48214650154114,0.02437691888652663,99.50940012931824,99.45489168167114
savename=ours_filtered_concept; dataset=dtd; k=5; shot=32; mode=filtered; reps=5; model_size=ViT-B/32; label_before_text=A photo of a texture: a ,51.148937940597534,0.431605883289583,51.70212984085083,50.69149136543274,83.3297872543335,0.3601322133336811,83.77659320831299,82.87234306335449
savename=ours_filtered_concept; dataset=flowers102; k=5; shot=8; mode=filtered; reps=5; model_size=ViT-B/32; label_before_text=A photo of a flower: a ,73.90469908714294,0.08518960461468496,74.0282952785492,73.76809120178223,91.25386118888855,0.037650729111965056,91.29939675331116,91.18555784225464
savename=ours_filtered_concept; dataset=fgvcaircraft; k=15; shot=8; mode=filtered; reps=5; model_size=ViT-B/32; label_before_text=A photo of a aircraft: a ,29.030903577804565,0.6068022499171117,29.822981357574463,28.08280885219574,68.16081404685974,0.38906817502708735,68.58685612678528,67.50674843788147
savename=ours_filtered_concept; dataset=cars; k=15; shot=16; mode=filtered; reps=5; model_size=ViT-B/32; label_before_text=A photo of a car: a ,59.40803289413452,0.13090571426606945,59.63188409805298,59.22148823738098,91.0782241821289,0.15384853149336508,91.31948947906494,90.8593475818634
savename=ours_filtered_concept; dataset=cub; k=5; shot=16; mode=filtered; reps=5; model_size=ViT-L/14; label_before_text=A photo of a bird: a ,63.1998610496521,0.24320270971118635,63.58301639556885,62.840867042541504,93.11356544494629,0.13457666787895656,93.23437809944153,92.85467863082886
savename=ours_filtered_concept; dataset=eurosat; k=10; shot=1; mode=filtered; reps=5; model_size=ViT-L/14; label_before_text=A photo of a satellite photo: a ,63.10370326042175,2.177658089819424,65.74074029922485,60.31481623649597,96.54814958572388,0.5139480813079877,97.29629755020142,95.92592716217041
savename=ours_filtered_concept; dataset=places365; k=15; shot=64; mode=filtered; reps=5; model_size=ViT-L/14; label_before_text=A photo of a place: a ,43.18027377128601,0.18000147043430417,43.38904023170471,42.90410876274109,71.40821933746338,0.11318686141588627,71.55616283416748,71.24109864234924
savename=ours_filtered_concept; dataset=food101; k=20; shot=32; mode=filtered; reps=5; model_size=ViT-L/14; label_before_text=A photo of a food: a ,93.22455406188965,0.0650956598567594,93.28712821006775,93.10891032218933,99.30693030357361,0.01416833444519352,99.3267297744751,99.28712844848633
savename=ours_filtered_concept; dataset=pets; k=20; shot=8; mode=filtered; reps=5; model_size=ViT-L/14; label_before_text=A photo of a pet: a ,93.03352475166321,0.2673811644845648,93.43145489692688,92.69555807113647,99.86917495727539,0.020394875027575934,99.89097714424133,99.83646869659424
savename=ours_filtered_concept; dataset=dtd; k=5; shot=8; mode=filtered; reps=5; model_size=ViT-L/14; label_before_text=A photo of a texture: a ,61.88297986984253,0.26188505274340784,62.12766170501709,61.48936152458191,88.45744729042053,0.29710979020737177,88.93616795539856,88.19149136543274
savename=ours_filtered_concept; dataset=flowers102; k=5; shot=4; mode=filtered; reps=5; model_size=ViT-L/14; label_before_text=A photo of a flower: a ,79.19011235237122,0.5164913810715307,80.17563819885254,78.66320013999939,94.2917549610138,0.2668300460644646,94.77964043617249,94.06407475471497
savename=ours_filtered_concept; dataset=fgvcaircraft; k=15; shot=32; mode=filtered; reps=5; model_size=ViT-L/14; label_before_text=A photo of a aircraft: a ,50.4950487613678,0.4438005081163478,51.24512314796448,50.015002489089966,87.50075101852417,0.21350691756918805,87.81878352165222,87.24872469902039
savename=ours_filtered_concept; dataset=cars; k=15; shot=16; mode=filtered; reps=5; model_size=ViT-L/14; label_before_text=A photo of a car: a ,74.24449682235718,0.24280973411853823,74.4559109210968,73.79679083824158,98.09227705001831,0.04350919414227704,98.15943241119385,98.02263379096985
savename=ours_filtered_concept; dataset=cub; k=5; shot=16; mode=filtered; reps=5; model_size=RN50; label_before_text=A photo of a bird: a ,49.509838223457336,0.3872545279465253,50.155335664749146,48.998963832855225,82.77873754501343,0.26902241777640407,83.2412838935852,82.51639604568481
savename=ours_filtered_concept; dataset=eurosat; k=10; shot=2; mode=filtered; reps=5; model_size=RN50; label_before_text=A photo of a satellite photo: a ,42.14814841747284,1.6289140360382217,44.79629695415497,39.92592692375183,91.8666672706604,1.2781478968835744,93.50000023841858,89.57407474517822
savename=ours_filtered_concept; dataset=places365; k=15; shot=64; mode=filtered; reps=5; model_size=RN50; label_before_text=A photo of a place: a ,39.76274013519287,0.17556946404431228,40.04931449890137,39.53150808811188,70.83725929260254,0.1631337422010993,71.10410928726196,70.59999704360962
savename=ours_filtered_concept; dataset=food101; k=20; shot=32; mode=filtered; reps=5; model_size=RN50; label_before_text=A photo of a food: a ,81.36395931243896,0.032620126304682175,81.40197992324829,81.30692839622498,96.76277279853821,0.019658714845293652,96.79999947547913,96.74455523490906
savename=ours_filtered_concept; dataset=pets; k=20; shot=32; mode=filtered; reps=5; model_size=RN50; label_before_text=A photo of a pet: a ,85.61460852622986,0.21557633014783437,85.9907329082489,85.41836738586426,99.57481741905212,0.021805763244628906,99.5911717414856,99.53665733337402
