savename=randomized_descriptions; dataset=imagenetv2; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,68.82571407726833,0.11069388177928699,68.94999742507935,68.59999895095825,90.58857134410313,0.07079849403580024,90.71000218391418,90.4699981212616
savename=randomized_descriptions; dataset=imagenet; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,74.61542912891933,0.12662531845123437,74.7759997844696,74.41200017929077,94.27657212529864,0.039694934702882545,94.34800148010254,94.22000050544739
savename=randomized_descriptions; dataset=cub; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,64.2314715044839,0.1657653538139132,64.51501846313477,64.01450037956238,92.55633865083966,0.11585665762405514,92.7511215209961,92.40593910217285
savename=randomized_descriptions; dataset=eurosat; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,56.17354469639914,4.203520892635892,61.21481657028198,48.459258675575256,94.68201058251518,1.2733931244640528,96.3518500328064,92.83703565597534
savename=randomized_descriptions; dataset=places365; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,41.125244753701345,0.19154419586714994,41.35890305042267,40.87945222854614,69.66262289455959,0.19631029839424685,69.88767385482788,69.33698654174805
savename=randomized_descriptions; dataset=food101; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,92.97312583242145,0.19853570175475316,93.19207668304443,92.60594248771667,99.28429978234428,0.031379620892338984,99.33069348335266,99.2277204990387
savename=randomized_descriptions; dataset=pets; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,93.63781384059361,0.3002892912248326,94.08558011054993,93.18615198135376,99.8247870377132,0.024627099275503838,99.86372590065002,99.80921149253845
savename=randomized_descriptions; dataset=dtd; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,52.2112454686846,0.8061156475277907,53.297871351242065,51.06382966041565,78.70820675577436,1.0833013603866222,80.0000011920929,76.54255032539368
savename=randomized_descriptions; dataset=imagenetv2; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,55.09285756519863,0.2958144169005253,55.570000410079956,54.6999990940094,82.47142859867641,0.13840289921019436,82.70000219345093,82.28999972343445
savename=randomized_descriptions; dataset=imagenet; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,62.27571538516453,0.13611881542308665,62.470000982284546,62.09400296211243,88.15199988228935,0.09477693494883205,88.30999732017517,87.9800021648407
savename=randomized_descriptions; dataset=cub; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,52.87982651165554,0.23034491154518497,53.19295525550842,52.58888602256775,84.38039336885724,0.19196868910259104,84.7773551940918,84.20780301094055
