savename=randomized_descriptions_5xbudget; dataset=imagenetv2; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,69.72000002861023,0.10014355765901921,69.84999775886536,69.55999732017517,91.13571388380868,0.04499501127512747,91.21000170707703,91.07999801635742
savename=randomized_descriptions_5xbudget; dataset=imagenet; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,75.36428655896869,0.051817774691464216,75.43399930000305,75.26400089263916,94.67942884990147,0.026417702227077053,94.72799897193909,94.63800191879272
savename=randomized_descriptions_5xbudget; dataset=cub; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,64.49282424790519,0.16649679656045302,64.72212672233582,64.25612568855286,92.68948180334908,0.0898505902697268,92.8374171257019,92.57853031158447
savename=randomized_descriptions_5xbudget; dataset=eurosat; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,60.738095215388704,1.4251358278167774,63.25926184654236,58.818519115448,95.93174627849034,0.5503708425161437,96.65185213088989,94.9999988079071
savename=randomized_descriptions_5xbudget; dataset=places365; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,42.39060623305185,0.10639112394106234,42.586302757263184,42.23835468292236,70.98121387617928,0.04716796509430986,71.04657292366028,70.90958952903748
savename=randomized_descriptions_5xbudget; dataset=food101; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,93.51683173860822,0.08122025249094884,93.63168478012085,93.41385960578918,99.35785021100726,0.007756620381821943,99.36633706092834,99.34653639793396
savename=randomized_descriptions_5xbudget; dataset=pets; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,93.9064758164542,0.1260479578298398,94.05832886695862,93.70400905609131,99.8442564691816,0.012313549637751919,99.86372590065002,99.83646869659424
savename=randomized_descriptions_5xbudget; dataset=dtd; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,55.04559193338667,0.655436532777207,56.489360332489014,54.361701011657715,81.59574440547398,0.47405644417481047,82.55318999290466,81.01063966751099
savename=randomized_descriptions_5xbudget; dataset=imagenetv2; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-B/32,55.77285715511867,0.07145772542310087,55.86000084877014,55.629998445510864,83.0085711819785,0.06854123210689575,83.1499993801117,82.91000127792358
savename=randomized_descriptions_5xbudget; dataset=imagenet; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-B/32,63.17571401596069,0.07330257806663941,63.26000094413757,63.03799748420715,88.58228666441781,0.03319840084925744,88.63999843597412,88.53800296783447
savename=randomized_descriptions_5xbudget; dataset=cub; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-B/32,53.24227128710066,0.21702833028246346,53.55539917945862,52.865034341812134,84.6269530909402,0.12298351945338423,84.76009368896484,84.4149112701416
