savename=scrambled_descriptions; dataset=imagenetv2; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,69.24428514071873,0.23933634489921646,69.62000131607056,68.91999840736389,90.86571420942035,0.09348143242522762,90.97999930381775,90.65999984741211
savename=scrambled_descriptions; dataset=imagenet; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,75.12514335768563,0.07727988847942194,75.26999711990356,75.04600286483765,94.51114279883248,0.07137660964274957,94.60999965667725,94.38400268554688
savename=scrambled_descriptions; dataset=cub; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,64.24133266721454,0.3264852451683526,64.92923498153687,63.84190320968628,92.57606438228062,0.1131491985041365,92.76838302612305,92.47497320175171
savename=scrambled_descriptions; dataset=eurosat; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,58.67671881403242,2.3458362438932876,61.23703718185425,55.07407188415527,95.51957675388881,0.5976144318939749,96.43333554267883,94.71851587295532
savename=scrambled_descriptions; dataset=places365; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,42.11232875074659,0.12531906911748478,42.34520494937897,41.953423619270325,70.58277896472386,0.1076017977320511,70.75616717338562,70.43287754058838
savename=scrambled_descriptions; dataset=food101; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,92.69137127058846,0.18449849603281548,93.05346608161926,92.48712658882141,99.27637832505363,0.033453001739499194,99.32277202606201,99.2277204990387
savename=scrambled_descriptions; dataset=pets; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,92.8590885230473,0.4831862084405671,93.7585175037384,92.15044975280762,99.85204424176898,0.019855002195204842,99.86372590065002,99.80921149253845
savename=scrambled_descriptions; dataset=dtd; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,54.58966663905552,0.5347294045223472,55.31914830207825,53.77659797668457,80.13677852494376,0.5720825622202147,81.06383085250854,79.14893627166748
savename=scrambled_descriptions; dataset=imagenetv2; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,55.74285813740322,0.1972457293570015,55.959999561309814,55.400002002716064,82.91000042642865,0.11199485491247811,83.1499993801117,82.76000022888184
savename=scrambled_descriptions; dataset=imagenet; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,62.99657055309841,0.08065338692380532,63.095998764038086,62.87599802017212,88.54714376585824,0.04224821788664301,88.62599730491638,88.49800229072571
savename=scrambled_descriptions; dataset=cub; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,52.85023876598903,0.28215775872031934,53.43458652496338,52.50259041786194,84.64914560317993,0.05968580808179718,84.74283814430237,84.57024693489075
savename=scrambled_descriptions; dataset=eurosat; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,41.70687879834856,2.8643682538521973,46.929630637168884,36.68518662452698,89.89100626536778,1.507721657153202,92.57037043571472,88.27037215232849
savename=scrambled_descriptions; dataset=places365; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,40.91037171227591,0.08040777410161937,41.07945263385773,40.824657678604126,71.68923786708287,0.1574521837642102,71.87397480010986,71.45753502845764
savename=scrambled_descriptions; dataset=food101; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,82.59292755808148,0.10339721378324633,82.73267149925232,82.3881208896637,96.73889534814018,0.08328501013888749,96.81980013847351,96.59801721572876
savename=scrambled_descriptions; dataset=pets; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,84.19187835284642,0.483186640717949,84.87326502799988,83.42872858047485,98.24397563934326,0.6867140480183712,99.2095947265625,97.27446436882019
savename=scrambled_descriptions; dataset=dtd; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,42.98632230077471,0.5191699488618456,43.82978677749634,42.12765991687775,73.57142908232552,0.5857480241720341,74.20212626457214,72.23404049873352
savename=scrambled_descriptions; dataset=imagenetv2; mode=scrambled_descriptions; reps=7; model_size=RN50,52.95571344239371,0.17686741097861802,53.25000286102295,52.64999866485596,80.64857040132794,0.16948909804504778,80.80999851226807,80.29999732971191
savename=scrambled_descriptions; dataset=imagenet; mode=scrambled_descriptions; reps=7; model_size=RN50,59.8814274583544,0.1207446409184458,60.071998834609985,59.70199704170227,86.15057127816337,0.09548422337988809,86.26599907875061,85.99200248718262
savename=scrambled_descriptions; dataset=cub; mode=scrambled_descriptions; reps=7; model_size=RN50,48.63405525684357,0.18017509983862198,48.878151178359985,48.360371589660645,82.45968733515058,0.19780325608931676,82.75802731513977,82.13669061660767
savename=scrambled_descriptions; dataset=eurosat; mode=scrambled_descriptions; reps=7; model_size=RN50,30.9603180204119,1.6282700102010923,34.033334255218506,28.72222363948822,82.44603191103253,0.8892209919330545,83.49999785423279,81.21481537818909
savename=scrambled_descriptions; dataset=places365; mode=scrambled_descriptions; reps=7; model_size=RN50,38.87201590197427,0.16508481495152666,39.03287649154663,38.600000739097595,69.95733806065151,0.14217737264914812,70.12602686882019,69.64383721351624
savename=scrambled_descriptions; dataset=food101; mode=scrambled_descriptions; reps=7; model_size=RN50,78.63932081631252,0.2065690084853485,78.91485095024109,78.31683158874512,95.53267359733582,0.11694971683589014,95.71881294250488,95.40197849273682
savename=scrambled_descriptions; dataset=pets; mode=scrambled_descriptions; reps=7; model_size=RN50,83.70517407144818,0.3060897025036034,84.27364230155945,83.37421417236328,99.0616364138467,0.1634392281928117,99.2641031742096,98.8280177116394
savename=scrambled_descriptions; dataset=dtd; mode=scrambled_descriptions; reps=7; model_size=RN50,41.937690121786936,0.6648827474680862,43.191489577293396,41.170212626457214,70.9650456905365,0.6366684500738664,71.59574627876282,70.05318999290466
