savename=shared_randomized_descriptions; dataset=imagenetv2; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,69.51857124056134,0.1797168506690981,69.70999836921692,69.23999786376953,90.97285696438381,0.156725043898358,91.21999740600586,90.75000286102295
savename=shared_randomized_descriptions; dataset=imagenet; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,75.27028662817818,0.1254238382394676,75.43200254440308,75.10600090026855,94.59571497780937,0.04982712566543654,94.65600252151489,94.52000260353088
savename=shared_randomized_descriptions; dataset=cub; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,64.45337619100299,0.2609110908160664,64.89471793174744,64.10079598426819,92.70674075399127,0.12023451495488814,92.9754912853241,92.6130473613739
savename=shared_randomized_descriptions; dataset=eurosat; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,60.9634918825967,1.9277326737326723,63.88888955116272,58.52222442626953,95.67090017454964,0.616035992707724,96.51111364364624,94.44814920425415
savename=shared_randomized_descriptions; dataset=places365; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,42.51780850546701,0.19557815667794917,42.81369745731354,42.10137128829956,71.04109610830035,0.260535600230071,71.51232957839966,70.68493366241455
savename=shared_randomized_descriptions; dataset=food101; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,93.47892573901585,0.1345679840453928,93.61188411712646,93.27524900436401,99.35502069337028,0.015473592385018022,99.38217997550964,99.33069348335266
savename=shared_randomized_descriptions; dataset=pets; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,93.89479500906808,0.12783763481035695,94.16734576225281,93.78577470779419,99.84814950398037,0.01985316530895344,99.89097714424133,99.83646869659424
savename=shared_randomized_descriptions; dataset=dtd; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,55.69908789225987,0.5939693659899931,56.75531625747681,54.78723645210266,81.83130621910095,0.4747869506013776,82.71276354789734,81.27659559249878
savename=shared_randomized_descriptions; dataset=imagenetv2; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,55.82714251109532,0.15507810817061166,56.02999925613403,55.5899977684021,82.80428733144488,0.15211412220181764,83.02000164985657,82.56000280380249
savename=shared_randomized_descriptions; dataset=imagenet; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,63.18600007465908,0.1215850317966839,63.353997468948364,63.040000200271606,88.52771520614624,0.1440739323429926,88.7440025806427,88.31400275230408
savename=shared_randomized_descriptions; dataset=cub; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,53.17323293004717,0.17294375750636373,53.45184803009033,52.865034341812134,84.61462599890572,0.21074742682884443,84.82913374900818,84.25958156585693
savename=shared_randomized_descriptions; dataset=eurosat; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,43.10264544827597,1.6368009089210644,45.65555453300476,41.16666615009308,89.89788378987994,1.1804665210998972,91.42962694168091,88.41851949691772
savename=shared_randomized_descriptions; dataset=places365; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,40.85675137383597,0.19482547723325297,41.134247183799744,40.572601556777954,71.55733960015434,0.32526236411395193,72.10959196090698,71.1013674736023
savename=shared_randomized_descriptions; dataset=food101; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,84.11654829978943,0.3056132240504619,84.59405899047852,83.67524743080139,97.29335308074951,0.12108812743149612,97.47326970100403,97.14455604553223
savename=shared_randomized_descriptions; dataset=pets; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,86.46186249596732,0.573699164425056,87.59880065917969,85.90896725654602,98.26733555112567,0.49935739571578297,99.23685193061829,97.57426977157593
savename=shared_randomized_descriptions; dataset=dtd; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,43.10790300369263,0.5853536967873665,43.67021322250366,41.91489219665527,74.2705157824925,1.3569297278314747,76.43616795539856,71.80851101875305
savename=shared_randomized_descriptions; dataset=imagenetv2; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=RN50,53.01428607531956,0.22518918007060273,53.25000286102295,52.560001611709595,80.60285789625985,0.16576324138746903,80.80000281333923,80.33000230789185
savename=shared_randomized_descriptions; dataset=imagenet; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=RN50,60.01200079917908,0.1605853346811668,60.20200252532959,59.751999378204346,86.20342782565525,0.16896994894658596,86.40599846839905,85.89199781417847
savename=shared_randomized_descriptions; dataset=cub; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=RN50,48.298732723508564,0.1386454238329583,48.51570725440979,48.066964745521545,82.36353056771415,0.1439364350028589,82.58543610572815,82.22299218177795
savename=shared_randomized_descriptions; dataset=eurosat; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=RN50,34.469312003680635,1.2131435963970976,36.6777777671814,32.40370452404022,78.29153367451259,1.3280898472456857,79.90370392799377,75.99629759788513
savename=shared_randomized_descriptions; dataset=places365; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=RN50,39.18003908225468,0.16890514782064306,39.353424310684204,38.82191777229309,70.21878702299935,0.19433862669432847,70.49589157104492,69.81369853019714
savename=shared_randomized_descriptions; dataset=food101; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=RN50,80.31400271824428,0.26318563227073244,80.64554333686829,79.9009919166565,96.45374843052456,0.12930276138124913,96.64950370788574,96.28118872642517
savename=shared_randomized_descriptions; dataset=pets; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=RN50,85.51571198872158,0.5006306107847389,86.12701296806335,84.76424217224121,98.88252786227635,0.4851587815014939,99.42763447761536,98.17388653755188
savename=shared_randomized_descriptions; dataset=dtd; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=RN50,39.93161107812609,0.811541837738183,41.170212626457214,38.56382966041565,71.04863098689488,0.8556643841259057,72.28723168373108,69.94680762290955
