savename=swapped_descriptions; dataset=imagenetv2; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,67.1257129737309,0.3154073791797223,67.47999787330627,66.61999821662903,89.38142742429461,0.1633074027487578,89.64999914169312,89.16000127792358
savename=swapped_descriptions; dataset=imagenet; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,73.13599927084786,0.185698402733812,73.40400218963623,72.78599739074707,93.19800053324018,0.05753966962593856,93.30199956893921,93.11400055885315
savename=swapped_descriptions; dataset=cub; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,64.17969380106244,0.2898116121175337,64.51501846313477,63.6002779006958,92.47990420886448,0.16156677538195613,92.73386001586914,92.30238199234009
savename=swapped_descriptions; dataset=eurosat; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,54.51428549630301,2.9618781362758333,61.129629611968994,51.762962341308594,94.85872983932495,1.193331400872878,97.11111187934875,93.42592358589172
savename=swapped_descriptions; dataset=places365; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,37.52524469579969,0.369791450729009,37.93972730636597,36.88493072986603,65.18278036798749,0.36884495279105217,66.0082221031189,64.70137238502502
savename=swapped_descriptions; dataset=food101; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,92.75134376117161,0.10140827024180288,92.91089177131653,92.64554381370544,99.25714220319476,0.032922699160585905,99.32277202606201,99.21979904174805
savename=swapped_descriptions; dataset=pets; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,93.77409219741821,0.4341006741509033,94.27636861801147,92.94085502624512,99.85204424176898,0.013488817799112584,99.86372590065002,99.83646869659424
savename=swapped_descriptions; dataset=dtd; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,49.8252272605896,1.070161558740252,51.223403215408325,48.138296604156494,76.17781247411456,2.4836059661536463,79.84042763710022,72.8723406791687
savename=swapped_descriptions; dataset=imagenetv2; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,53.380000591278076,0.2596709745558429,53.850001096725464,53.09000015258789,80.87285671915326,0.14260015184382355,81.08999729156494,80.65999746322632
savename=swapped_descriptions; dataset=imagenet; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,60.70342915398734,0.18729087351851043,60.90199947357178,60.325998067855835,86.90342817987714,0.08319752559656075,87.0199978351593,86.79800033569336
savename=swapped_descriptions; dataset=cub; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,52.919275420052664,0.1726984547310318,53.158438205718994,52.606141567230225,84.52586361340114,0.18903376443020176,84.76009368896484,84.22505855560303
savename=swapped_descriptions; dataset=eurosat; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,37.0116399867194,2.8622626442207624,41.103702783584595,32.08148181438446,87.63174670083183,1.7121827076010092,90.61852097511292,84.75925922393799
savename=swapped_descriptions; dataset=places365; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,35.96790645803724,0.38331479279657354,36.50684952735901,35.23287773132324,65.67632130214146,0.5259014186077207,66.44931435585022,64.95890617370605
savename=swapped_descriptions; dataset=food101; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,82.75813290051052,0.299144648727513,83.16831588745117,82.36831426620483,96.93748269762311,0.07243323706122826,97.07326889038086,96.81187868118286
savename=swapped_descriptions; dataset=pets; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,86.51637179510934,0.3991689284184799,87.32624650001526,86.045241355896,98.4269746712276,0.4345528096433207,99.42763447761536,98.0376124382019
savename=swapped_descriptions; dataset=dtd; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,38.525836382593425,0.6556125022645357,39.414894580841064,37.287235260009766,68.95896707262311,2.2897695699280565,72.65957593917847,66.17021560668945
savename=swapped_descriptions; dataset=imagenetv2; mode=swapped_descriptions; reps=7; model_size=RN50,50.777143239974976,0.17301602363096708,50.950002670288086,50.4800021648407,78.76142859458923,0.2631372443574578,79.1100025177002,78.29999923706055
savename=swapped_descriptions; dataset=imagenet; mode=swapped_descriptions; reps=7; model_size=RN50,57.51514349664961,0.13617976639962578,57.656002044677734,57.260000705718994,84.42400012697492,0.09086907670176998,84.56000089645386,84.28599834442139
savename=swapped_descriptions; dataset=cub; mode=swapped_descriptions; reps=7; model_size=RN50,48.214902196611675,0.37743900056742574,48.6020028591156,47.53192961215973,82.19093595232282,0.21917542385731542,82.430100440979,81.79150819778442
savename=swapped_descriptions; dataset=eurosat; mode=swapped_descriptions; reps=7; model_size=RN50,28.794708847999573,3.2330713316672073,33.63703787326813,24.877777695655823,76.71481456075396,1.9204931682407755,79.38148379325867,74.25185441970825
savename=swapped_descriptions; dataset=places365; mode=swapped_descriptions; reps=7; model_size=RN50,34.48414845126016,0.5068604820532127,35.11506915092468,33.561643958091736,64.2978480884007,0.3584231275057113,64.99726176261902,63.832879066467285
savename=swapped_descriptions; dataset=food101; mode=swapped_descriptions; reps=7; model_size=RN50,79.07949090003967,0.317325120810108,79.42970395088196,78.43960523605347,96.00452610424587,0.16958391415776491,96.1940586566925,95.6831693649292
savename=swapped_descriptions; dataset=pets; mode=swapped_descriptions; reps=7; model_size=RN50,85.25094389915466,0.3678196970527979,85.74543595314026,84.54619646072388,98.89810340745109,0.3431701731012183,99.34586882591248,98.17388653755188
savename=swapped_descriptions; dataset=dtd; mode=swapped_descriptions; reps=7; model_size=RN50,37.165653705596924,1.8355109877508387,39.787232875823975,34.25531983375549,66.84650438172477,2.3743244862369495,70.7446813583374,63.13830018043518
