savename=waffleclip_concepts; dataset=cub; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a bird: a ,63.39316538402012,0.20358777061511926,63.70382905006409,63.13427686691284,92.9385074547359,0.05568056860225317,93.01000833511353,92.85467863082886
savename=waffleclip_concepts; dataset=eurosat; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a land use: a ,60.65396836825779,0.6289639560248824,61.859261989593506,59.974074363708496,95.44338583946228,0.40073773308387267,96.00370526313782,94.87407207489014
savename=waffleclip_concepts; dataset=places365; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a place: a ,42.61213370731899,0.11262770937819343,42.7890419960022,42.44931638240814,70.4637953213283,0.10115012963401218,70.6246554851532,70.33424377441406
savename=waffleclip_concepts; dataset=food101; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a food: a ,93.64922302109855,0.025653294429158313,93.67920756340027,93.60396265983582,99.36690245355878,0.011086991947140702,99.38217997550964,99.35049414634705
savename=waffleclip_concepts; dataset=pets; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a breed: a ,94.3698159285954,0.07408091374508063,94.46715712547302,94.27636861801147,99.88319107464382,0.012310856974371698,99.89097714424133,99.86372590065002
savename=waffleclip_concepts; dataset=cub; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a bird: a ,52.83051473753793,0.1408198983703294,53.072142601013184,52.58888602256775,85.14226504734584,0.14628408408775195,85.34691333770752,84.91542935371399
savename=waffleclip_concepts; dataset=eurosat; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a land use: a ,48.11957691396986,0.9238614785563295,49.09999966621399,46.170371770858765,92.07142846924918,0.305560291851009,92.62222051620483,91.67037010192871
savename=waffleclip_concepts; dataset=places365; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a place: a ,41.01448101656778,0.0777903691293031,41.18629992008209,40.939727425575256,71.26223189490182,0.04685566244269389,71.35616540908813,71.20822072029114
savename=waffleclip_concepts; dataset=food101; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a food: a ,85.19038132258824,0.06068823776312145,85.29108762741089,85.10099053382874,97.70693012646267,0.031255779837660515,97.77425527572632,97.67524600028992
savename=waffleclip_concepts; dataset=pets; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a breed: a ,87.46252485683986,0.13272704935793153,87.70782351493835,87.32624650001526,99.08499717712402,0.07960590384335078,99.2095947265625,98.99154901504517
savename=waffleclip_concepts; dataset=cub; mode=waffle; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a bird: a ,48.24202401297433,0.1539369456841499,48.55022430419922,48.0151891708374,81.79397412708828,0.11201612272017944,81.981360912323,81.60165548324585
savename=waffleclip_concepts; dataset=eurosat; mode=waffle; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a land use: a ,34.474073563303264,0.6662905358199965,35.35555601119995,33.492591977119446,80.75925963265556,0.35176510355523033,81.44074082374573,80.2148163318634
savename=waffleclip_concepts; dataset=places365; mode=waffle; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a place: a ,38.87319011347635,0.06767749245284566,38.99178206920624,38.80000114440918,70.0133068220956,0.1150914055487659,70.25205492973328,69.85205411911011
savename=waffleclip_concepts; dataset=food101; mode=waffle; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a food: a ,81.40367610113961,0.07487122114425111,81.53267502784729,81.27128481864929,96.8158415385655,0.02347746020592359,96.8554437160492,96.78415656089783
savename=waffleclip_concepts; dataset=pets; mode=waffle; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a breed: a ,85.65977386065892,0.07346356209691664,85.77268719673157,85.55464744567871,98.44644239970616,0.17237717405174793,98.71899485588074,98.14663529396057
