savename=waffleclip_gpt; dataset=imagenetv2; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,70.0400003365108,0.16423149538557258,70.31000256538391,69.77999806404114,91.10428435461861,0.04806559850083157,91.17000102996826,91.03999733924866
savename=waffleclip_gpt; dataset=imagenet; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,75.78057135854449,0.08878721875882943,75.9119987487793,75.66199898719788,94.78857176644462,0.039011239531562776,94.82399821281433,94.70800161361694
savename=waffleclip_gpt; dataset=cub; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,64.79856031281608,0.13332575939632357,65.10183215141296,64.68760967254639,92.61551329067775,0.07230751905358213,92.71660447120667,92.50949025154114
savename=waffleclip_gpt; dataset=eurosat; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,62.323810373033794,1.3025867528820123,64.1444444656372,60.4962944984436,96.92380854061672,0.40932635563207304,97.37777709960938,96.0777759552002
savename=waffleclip_gpt; dataset=places365; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,43.06105673313141,0.050128142392687335,43.14246475696564,42.99178123474121,71.56947084835598,0.11059541210301148,71.712327003479,71.36986255645752
savename=waffleclip_gpt; dataset=food101; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,93.42913797923497,0.050381531046317395,93.5089111328125,93.35445761680603,99.36124426977975,0.011921644128541627,99.38217997550964,99.34653639793396
savename=waffleclip_gpt; dataset=pets; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,93.12774964741298,0.5225289210135718,93.62223744392395,91.90515279769897,99.85983116286141,0.01741246575652967,99.89097714424133,99.83646869659424
savename=waffleclip_gpt; dataset=dtd; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,55.364742449351716,0.33209414127484427,55.79787492752075,54.94681000709534,79.93161167417254,0.24410931434763997,80.26595711708069,79.46808338165283
savename=waffleclip_gpt; dataset=imagenetv2; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,56.321429354803904,0.15431265871745986,56.550002098083496,56.129997968673706,83.37428569793701,0.062074199730228194,83.45000147819519,83.27999711036682
savename=waffleclip_gpt; dataset=imagenet; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,63.75171286719186,0.07089947150552982,63.84999752044678,63.63999843597412,88.86942863464355,0.06893181942284432,88.96999955177307,88.7719988822937
savename=waffleclip_gpt; dataset=cub; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,53.30884201186044,0.18118429038350897,53.55539917945862,53.0203640460968,84.69599144799369,0.15150970544442635,84.93269085884094,84.5529854297638
savename=waffleclip_gpt; dataset=eurosat; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,41.08465611934662,1.9222873779021519,44.53703761100769,39.007407426834106,89.63174649647304,1.489485135733814,91.85925722122192,87.29259371757507
savename=waffleclip_gpt; dataset=places365; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,41.623482959611074,0.11033882142222957,41.75342321395874,41.44109487533569,72.4363991192409,0.07795639334737246,72.55342602729797,72.30411171913147
savename=waffleclip_gpt; dataset=food101; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,83.4008480821337,0.14464542009327974,83.59603881835938,83.16039443016052,96.99462567056928,0.046447525733731766,97.07722663879395,96.93861603736877
savename=waffleclip_gpt; dataset=pets; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,85.4261577129364,0.22603226070183796,85.85445880889893,85.1458191871643,97.4379939692361,0.16610810855522584,97.79231548309326,97.27446436882019
savename=waffleclip_gpt; dataset=dtd; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,43.79939224038805,0.3338285065011881,44.14893686771393,43.29787194728851,72.73556249482291,0.33017496574504346,73.24467897415161,72.28723168373108
savename=waffleclip_gpt; dataset=imagenetv2; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,53.38571412222726,0.06543478211355609,53.50000262260437,53.29999923706055,81.18142911366054,0.1614599650761989,81.44000172615051,80.93000054359436
savename=waffleclip_gpt; dataset=imagenet; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,60.58200001716614,0.10665361029874668,60.746002197265625,60.44600009918213,86.55142869268145,0.07728146422519586,86.6540014743805,86.4139974117279
savename=waffleclip_gpt; dataset=cub; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,48.50091167858669,0.17993806867806034,48.72281551361084,48.22230041027069,82.42023757525853,0.1342791870951344,82.70624876022339,82.29202628135681
savename=waffleclip_gpt; dataset=eurosat; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,30.3841267313276,0.7275614200065607,31.799998879432678,29.52222228050232,80.71058222225734,1.4657971616926415,83.22222232818604,78.5444438457489
savename=waffleclip_gpt; dataset=places365; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,39.489627735955374,0.13172436559297254,39.701369404792786,39.28767144680023,70.69041132926941,0.08713022560887221,70.82191705703735,70.58082222938538
