savename=waffleclip_gpt_concepts; dataset=cub; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a bird: a ,63.67177963256836,0.05171830028750154,63.75560760498047,63.6002779006958,93.1061693600246,0.09446912929589502,93.26890110969543,92.99275279045105
savename=waffleclip_gpt_concepts; dataset=eurosat; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a land use: a ,60.9359792300633,2.4643045430474912,64.52222466468811,56.874072551727295,96.72645500728062,0.25884651664537195,97.07407355308533,96.37407660484314
savename=waffleclip_gpt_concepts; dataset=places365; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a place: a ,43.38356128760746,0.09352986159328125,43.53424608707428,43.25205385684967,71.34246570723397,0.12183023682123441,71.50136828422546,71.11507058143616
savename=waffleclip_gpt_concepts; dataset=food101; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a food: a ,93.60056604657855,0.043969987929070295,93.68712902069092,93.5247540473938,99.37991499900818,0.012317603981199974,99.39801692962646,99.3584156036377
savename=waffleclip_gpt_concepts; dataset=pets; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a breed: a ,94.3114127431597,0.09181074297990185,94.41264867782593,94.11283731460571,99.89487188202995,0.017412465756529667,99.91823434829712,99.86372590065002
savename=waffleclip_gpt_concepts; dataset=cub; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a bird: a ,53.29158220972334,0.23695335404016857,53.607177734375,52.916812896728516,85.647714138031,0.05968654676500085,85.74387431144714,85.55402159690857
savename=waffleclip_gpt_concepts; dataset=eurosat; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a land use: a ,49.53650747026716,0.8587105723015994,50.41851997375488,47.85185158252716,91.07671976089478,0.7654467329075789,92.0037031173706,89.68518376350403
savename=waffleclip_gpt_concepts; dataset=places365; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a place: a ,41.89275971480778,0.07296450992453159,42.00274050235748,41.78356230258942,72.23757420267377,0.06274552078287743,72.32055068016052,72.12876677513123
savename=waffleclip_gpt_concepts; dataset=food101; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a food: a ,84.96463894844055,0.038622415597752625,85.01386046409607,84.88316535949707,97.5886847291674,0.02944064461635189,97.62375950813293,97.5287139415741
savename=waffleclip_gpt_concepts; dataset=pets; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a breed: a ,88.26850397246224,0.36794208148883606,88.7435257434845,87.62605786323547,99.41595452172416,0.05423164766346486,99.50940012931824,99.34586882591248
savename=waffleclip_gpt_concepts; dataset=cub; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a bird: a ,49.006361195019316,0.10753001268794236,49.13703799247742,48.791852593421936,82.18600494521004,0.17368127388508653,82.48187899589539,81.99861645698547
savename=waffleclip_gpt_concepts; dataset=eurosat; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a land use: a ,34.87407437392643,0.8913610808457563,35.89629530906677,33.51481556892395,84.01693105697632,1.3774677218650317,86.50000095367432,82.24074244499207
savename=waffleclip_gpt_concepts; dataset=places365; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a place: a ,39.79804260390146,0.07221481451918822,39.89588916301727,39.6876722574234,71.1354204586574,0.11365998548554758,71.36712074279785,70.97808122634888
savename=waffleclip_gpt_concepts; dataset=food101; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a food: a ,81.3227721623012,0.07027363579438164,81.42178058624268,81.22772574424744,96.72588280269078,0.044238024318947744,96.78415656089783,96.62970304489136
savename=waffleclip_gpt_concepts; dataset=pets; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a breed: a ,85.88560479027885,0.1744762299413252,86.23602986335754,85.71817874908447,99.04995475496564,0.1423184908328779,99.31861758232117,98.80076050758362
