savename=baselines; dataset=imagenetv2; mode=clip; model_size=ViT-L/14,67.90000200271606,0.0,67.90000200271606,67.90000200271606,89.52999711036682,0.0,89.52999711036682,89.52999711036682
savename=baselines; dataset=imagenet; mode=clip; model_size=ViT-L/14,73.3739972114563,0.0,73.3739972114563,73.3739972114563,93.35799813270569,0.0,93.35799813270569,93.35799813270569
savename=baselines; dataset=cub; mode=clip; model_size=ViT-L/14,62.27131485939026,0.0,62.27131485939026,62.27131485939026,92.07801222801208,0.0,92.07801222801208,92.07801222801208
savename=baselines; dataset=eurosat; mode=clip; model_size=ViT-L/14,56.029629707336426,0.0,56.029629707336426,56.029629707336426,92.51852035522461,0.0,92.51852035522461,92.51852035522461
savename=baselines; dataset=places365; mode=clip; model_size=ViT-L/14,40.46301245689392,0.0,40.46301245689392,40.46301245689392,68.18355917930603,0.0,68.18355917930603,68.18355917930603
savename=baselines; dataset=food101; mode=clip; model_size=ViT-L/14,92.55049228668213,0.0,92.55049228668213,92.55049228668213,99.24356341362,0.0,99.24356341362,99.24356341362
savename=baselines; dataset=pets; mode=clip; model_size=ViT-L/14,93.29517483711243,0.0,93.29517483711243,93.29517483711243,99.80921149253845,0.0,99.80921149253845,99.80921149253845
savename=baselines; dataset=dtd; mode=clip; model_size=ViT-L/14,52.8723418712616,0.0,52.8723418712616,52.8723418712616,79.2553186416626,0.0,79.2553186416626,79.2553186416626
savename=baselines; dataset=flowers102; mode=clip; model_size=ViT-L/14,74.72760081291199,0.0,74.72760081291199,74.72760081291199,88.82744908332825,0.0,88.82744908332825,88.82744908332825
savename=baselines; dataset=fgvcaircraft; mode=clip; model_size=ViT-L/14,44.884487986564636,0.0,44.884487986564636,44.884487986564636,84.96849536895752,0.0,84.96849536895752,84.96849536895752
savename=baselines; dataset=cars; mode=clip; model_size=ViT-L/14,76.4208436012268,0.0,76.4208436012268,76.4208436012268,97.81121611595154,0.0,97.81121611595154,97.81121611595154
savename=baselines; dataset=cifar100; mode=clip; model_size=ViT-L/14,77.20999717712402,0.0,77.20999717712402,77.20999717712402,93.58999729156494,0.0,93.58999729156494,93.58999729156494
savename=baselines; dataset=imagenetv2; mode=clip; model_size=ViT-B/32,54.739999771118164,0.0,54.739999771118164,54.739999771118164,81.99999928474426,0.0,81.99999928474426,81.99999928474426
savename=baselines; dataset=imagenet; mode=clip; model_size=ViT-B/32,61.99600100517273,0.0,61.99600100517273,61.99600100517273,87.6579999923706,0.0,87.6579999923706,87.6579999923706
savename=baselines; dataset=cub; mode=clip; model_size=ViT-B/32,51.27718448638916,0.0,51.27718448638916,51.27718448638916,83.44839215278625,0.0,83.44839215278625,83.44839215278625
savename=baselines; dataset=eurosat; mode=clip; model_size=ViT-B/32,40.76296389102936,0.0,40.76296389102936,40.76296389102936,90.7444417476654,0.0,90.7444417476654,90.7444417476654
savename=baselines; dataset=places365; mode=clip; model_size=ViT-B/32,39.12328779697418,0.0,39.12328779697418,39.12328779697418,69.72876787185669,0.0,69.72876787185669,69.72876787185669
savename=baselines; dataset=food101; mode=clip; model_size=ViT-B/32,82.59009718894958,0.0,82.59009718894958,82.59009718894958,96.87920808792114,0.0,96.87920808792114,96.87920808792114
savename=baselines; dataset=pets; mode=clip; model_size=ViT-B/32,85.06404757499695,0.0,85.06404757499695,85.06404757499695,97.35623002052307,0.0,97.35623002052307,97.35623002052307
