
savename=waffleclip; dataset=imagenetv2; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,69.53714404787335,0.1834357149587233,69.83000040054321,69.27000284194946,90.76571464538574,0.0528765917775158,90.83999991416931,90.65999984741211
savename=waffleclip; dataset=imagenet; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,75.35685726574489,0.08163330427239932,75.46600103378296,75.26599764823914,94.51371516500201,0.043404421012624074,94.58600282669067,94.45000290870667
savename=waffleclip; dataset=cub; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,64.08600040844509,0.104548605684579,64.30790424346924,63.97997736930847,92.11746198790414,0.10943481200934498,92.30238199234009,91.90542101860046
savename=waffleclip; dataset=eurosat; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,60.70793696812221,0.9549956337906123,62.73703575134277,59.54074263572693,95.95449651990619,0.4944723157503194,96.74814939498901,95.23703455924988
savename=waffleclip; dataset=places365; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,42.233268703733174,0.04855766093860893,42.33150780200958,42.183563113212585,70.6281806741442,0.05407969206405452,70.71232795715332,70.55890560150146
savename=waffleclip; dataset=food101; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,93.3425750051226,0.05471326189855406,93.4099018573761,93.27524900436401,99.38500693866185,0.011733141812450443,99.40990209579468,99.37029480934143
savename=waffleclip; dataset=pets; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,91.86621563775199,0.09647992992984884,91.98691844940186,91.71436429023743,99.09278409821647,0.3079159037473782,99.50940012931824,98.71899485588074
savename=waffleclip; dataset=dtd; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,53.52583612714495,0.32131283757182677,53.989362716674805,52.8723418712616,80.47872270856585,0.2361746947569682,80.95744848251343,80.21276593208313
savename=waffleclip; dataset=flowers102; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,76.4677175453731,0.11466682917687111,76.64660811424255,76.25629901885986,90.33292276518685,0.09069729362169766,90.45373201370239,90.20978808403015
savename=waffleclip; dataset=fgvcaircraft; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,48.583429200308665,0.5166188520370729,49.47494864463806,47.76477515697479,86.70867085456848,0.17420903913195007,86.97869777679443,86.46864891052246
savename=waffleclip; dataset=cars; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,76.61093984331403,0.11411785851203052,76.75662040710449,76.4208436012268,97.78456773076739,0.02775272314532037,97.82365560531616,97.73659706115723
savename=waffleclip; dataset=cifar100; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,79.0871432849339,0.12115098582959805,79.28000092506409,78.88000011444092,94.71285683768136,0.0690153696530613,94.8199987411499,94.65000033378601
savename=waffleclip; dataset=caltech256; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,89.9822643824986,0.1880171602149363,90.1502788066864,89.61123824119568,96.11704775265285,0.04251897846406414,96.19405269622803,96.06337547302246

savename=waffleclip; dataset=imagenetv2; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,55.94428607395717,0.13751455159782897,56.15000128746033,55.7699978351593,82.98857126917157,0.15366285923750905,83.20000171661377,82.73000121116638
savename=waffleclip; dataset=imagenet; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,63.36514268602644,0.12968394255537333,63.533997535705566,63.15000057220459,88.52514283997672,0.12559789950295974,88.6900007724762,88.3080005645752
savename=waffleclip; dataset=cub; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,52.48779569353376,0.12896852823851887,52.69244313240051,52.278220653533936,83.79111545426505,0.15338330487137225,84.06972885131836,83.62098932266235
savename=waffleclip; dataset=eurosat; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,43.77777789320265,0.41448904453746477,44.70370411872864,43.388888239860535,92.24444287163871,0.2740881182067172,92.84814596176147,92.0037031173706
savename=waffleclip; dataset=places365; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,40.67553835255759,0.08204603605945322,40.77260196208954,40.561643242836,71.29745483398438,0.09158094023439634,71.43835425376892,71.15890383720398
savename=waffleclip; dataset=food101; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,83.26619608061654,0.17415033218096396,83.54851603507996,83.00198316574097,97.05403021403721,0.054934990578323475,97.14059233665466,96.99009656906128
